#,Date,Interval,Secondary Visit,Time In,Time Out,Duration,Time Base Fee,Xtra Minutes,$ Time,Growth,Anode,# Installed,Materials,Adjustments,Total,Monthly
11,,,No,1307,1341,34,$99.00,14,$28.00,,,,,,$127.00,$0.00
10,,,No,1452,1519,27,$99.00,7,$14.00,,,,,,$113.00,$0.00
09,,,No,1355,1414,19,$99.00,0,$0.00,,,,,,$99.00,$0.00
08,,,No,1336,1357,21,$99.00,1,$2.00,,,,,,$101.00,$0.00
07,,3,No,1408,1431,23,$99.00,3,$6.00,,,,,,$105.00,$35.00
06,,3,No,1455,1550,55,$99.00,35,$70.00,,,,,,$169.00,$56.00
04,,3,No,912,1053,101,$99.00,81,$162.00,,,,,,$261.00,$87.00
05,,3,No,1312,1349,37,$99.00,17,$34.00,,,,,,$133.00,$44.00
02,,3,No,1654,1805,71,$99.00,51,$102.00,,,,,,$201.00,$67.00
03,,3,No,1340,1506,86,$99.00,66,$132.00,,,,,,$231.00,$77.00
01,,3,No,1130,1231,61,$99.00,41,$82.00,,,,,,$181.00,$60.00
