#,Anode,Anodes,Date,Duration,Growth,Notes,Paint,Prop,Secondary Visit,Thru-hulls,Time In,Time Out
03,,,04/08/2024,39,,,,,No,,1530,1609
02,,Good,09/09/2023,44,,"Scoured the depth transducer. ",Excellent,Good,No,Sound,1205,1249
01,,Good,03/05/2023,61,,Some oxidations showing up around the depth sounder transducer. Some oxidations showing up around the depth sounder transducer.,"Fair, Good",Good,No,"Possible Issue, Sound",1202,1303
04,,,05/10/2024,24,,,,,No,,1430,1454
05,,,06/14/2024,30,,,,,No,,1412,1442
06,,,07/11/2024,25,,,Good,Good,No,Sound,1210,1235
07,,,08/05/2024,25,,"Port quarter is sitting low; waterline is below the surface of the water ",Good,,No,,1227,1252
08,,,09/14/2024,23,,,,,No,,1257,1320
09,,,10/14/2024,25,,,,,No,,1330,1355
10,,,11/12/2024,27,,,,,No,,1355,1422
11,,,12/10/2024,20,,,,,No,,1447,1507
12,,,,20,,,,,No,,1511,1531
13,,,,20,,,,,No,,1258,1318
,,,,0,,,,,No,,,
