#,# Installed,$ Time,Adjustments,Anode,Anodes,Date,Duration,Growth,Interval,Materials,Monthly,Notes,Paint,Prop,Secondary Visit,Thru-hulls,Time Base Fee,Time In,Time Out,Total,Xtra Minutes
01,,$100.00,,,Fair,,70,,2,,$99.00,,"Fair, Poor",Good,No,,$99.00,1109,1219,$199.00,50
03,,$176.00,,,Fair,,108,,2,,$137.00,Shaft anodes need replacing on next service. Deterioration of paint and possibly hull around the intake strainer thru-hulls.,"Fair, Poor",Good,No,Possible Issue,$99.00,1302,1450,$275.00,88
04,,$128.00,,,Replaced,,84,,2,,$113.00,Replaced 3x shaft anodes,Poor,Good,No,Possible Issue,$99.00,1412,1536,$227.00,64
02,,$76.00,,,Fair,,58,,2,,$87.00,"Paint worn through along the edges of the keel and hull, thru-hulls and transducer. Thru-hulls need wire wheeling for proper evaluation.","Fair, Poor",Good,No,Possible Issue,$99.00,1027,1125,$175.00,38
05,,$126.00,,,"Fair, Good",,83,,2,,$112.00,"Time to replace transom anode plate within 4 months ",Poor,Good,No,"Possible Issue, Sound",$99.00,1147,1310,$225.00,63
06,,$100.00,,,"Fair, Good",,70,,2,,$99.00,,Poor,Good,No,"Possible Issue, Sound",$99.00,1120,1230,$199.00,50
08,,$30.00,,,"Fair, Good",,35,,2,,$64.00,Shaft anodes may need replacing on next service,Excellent,Polished,No,Sound,$99.00,1205,1240,$129.00,15
07,,$18.00,$0.00,,"Fair, Good",,29,,2,,$58.00,"Rudders and trim tabs are losing paint in flakes. ",Excellent,Polished,No,Sound,$99.00,1240,1309,$117.00,9
09,,$38.00,,,,,39,,2,,$68.00,,,,No,,$99.00,1407,1446,$137.00,19
10,,$20.00,,,,,30,,,,$0.00,,,,No,,$99.00,1200,1230,$119.00,10
11,,$38.00,,,,,39,,,,$0.00,,,,No,,$99.00,1442,1521,$137.00,19
12,,$0.00,,,,,20,,,,$0.00,,,,No,,$99.00,1349,1409,$99.00,0
13,,$20.00,,,,,30,,,,$0.00,,,,No,,$99.00,1452,1522,$119.00,10
