#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
03,Fair,05/03/2023,Heavy,,Shaft anodes need replacing on next service. Deterioration of paint and possibly hull around the intake strainer thru-hulls.,"Fair, Poor",Good,Possible Issue
05,"Fair, Good",09/07/2023,Heavy,,"Time to replace transom anode plate within 4 months ",Poor,Good,"Possible Issue, Sound"
02,Fair,03/06/2023,Heavy,,"Paint worn through along the edges of the keel and hull, thru-hulls and transducer. Thru-hulls need wire wheeling for proper evaluation.","Fair, Poor",Good,Possible Issue
07,"Fair, Good",03/06/2024,Minimal,,"Rudders and trim tabs are losing paint in flakes. ",Excellent,Polished,Sound
01,Fair,01/12/2023,Heavy,,,"Fair, Poor",Good,
06,"Fair, Good",11/05/2023,"Heavy, Moderate",,,Poor,Good,"Possible Issue, Sound"
04,Replaced,07/03/2023,Heavy,,Replaced 3x shaft anodes,Poor,Good,Possible Issue
08,"Fair, Good",05/16/2024,Minimal,,Shaft anodes may need replacing on next service,Excellent,Polished,Sound
09,"Good, Missing",08/06/2024,"Minimal, Moderate",0,Will return to install 2x port shaft anodes,Excellent,Good,Sound
10,Replaced,09/16/2024,Not Evaluated,,Installed 2 x 1-3/4” heavy duty shaft zincs on port shaft,Not Evaluated,Not Evaluated,Not Evaluated
11,"Fair, Good",11/20/2024,Minimal,,"Port prop showing signs of electrolysis. Port shaft anodes appear to be functioning properly. ",Excellent,"Good, Possible Issue",Sound
12,Fair,02/12/2025,Minimal,,"New port shaft and transom anodes needed on next service ",Excellent,Good,Sound
13,"Fair, Missing",05/09/2025,"Minimal, Moderate",,,Excellent,Good,Sound
