#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
01,Excellent,02/16/2023,Minimal,,"A plastic bag was found entangled with the propeller and removed. A light slime was found covering all wetted-surface areas; I removed 75% of it, including the waterline, leading edge of keel, and entire propeller and rudder areas. A complete cleaning will be performed next month. Many small barnacles were observed on the propeller. It was not apparent how much Propspeed or similar protective coating remains on the propeller surface. ","Excellent, Good",Good,Sound
03,Good,05/02/2023,Minimal,,,Excellent,Good,Sound
02,Excellent,03/05/2023,Minimal,,Some tiny barnacles had started on the prop and were removed.,"Excellent, Good",Good,Sound
05,Replaced,03/06/2024,Minimal,,,Excellent,Good,Sound
04,Good,07/02/2023,Minimal,,"Three areas of paint adherence issue, port side. See video ","Excellent, Poor",Good,Sound
05,Fair,01/05/2024,Minimal,,"Shaft collar up for replacement next service ",Excellent,Good,Sound
06,Good,05/13/2024,"Minimal, Moderate",,,Good,Good,Sound
07,Good,07/08/2024,"Minimal, Moderate",,,Good,Good,Sound
08,Replaced,09/23/2024,"Minimal, Moderate",,,Good,Good,Sound
09,Excellent,11/15/2024,"Minimal, Moderate",,,Good,Good,Sound
10,"Fair, Good",01/13/2025,Minimal,,,Good,Good,Sound
11,Fair,03/18/2025,Moderate,,"Shaft anode to be replaced on next service. Waterline paint has failed. ",Good,Good,Sound
12,Fair,05/09/2025,Moderate,,,Fair,Good,Sound
13,Fair,07/08/2025,Moderate,,,Fair,Good,Sound
14,"Missing, Replaced",09/04/2025,Moderate,1,Some paint on the leading edge of keel has been scraped through. No significant damage to gel coat or fiberglass.,"Fair, Missing",Polished,Sound
