#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,11/05/2023,Excellent,Minimal,"Fair, Good",Sound,Good,Knot meter transducer is rotated by about 30 degrees.,
02,02/03/2024,Excellent,Minimal,"Fair, Replaced",Sound,Good,"Installed 3/4” heavy duty shaft anode. Damage observed along lower aft keel edge, 8”-10” long. Bow nav lights flashing intermittently. ",
03,05/13/2024,Good,"Minimal, Moderate",Good,Sound,Good,,
04,08/06/2024,"Fair, Good","Minimal, Moderate","Fair, Good",Sound,Good,,0
05,11/15/2024,"Fair, Good","Minimal, Moderate","Fair, Good",Sound,Good,,
06,02/10/2025,"Fair, Good",Minimal,Good,Sound,Issue,"Fishing line, wire, and tackle wrapped around prop and shaft. ",
07,02/12/2025,"Fair, Good","Minimal, Moderate",Good,Sound,Good,Fishing line removed,
08,05/09/2025,Fair,"Minimal, Moderate",Good,Sound,Good,,
09,07/17/2025,Fair,Moderate,Good,Sound,Good,,
10,10/22/2025,"Fair, Poor","Heavy, Moderate",Good,Sound,Good,,
