#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
01,"Fair, Good",11/05/2023,Minimal,,Knot meter transducer is rotated by about 30 degrees.,Excellent,Good,Sound
02,"Fair, Replaced",02/03/2024,Minimal,,"Installed 3/4” heavy duty shaft anode. Damage observed along lower aft keel edge, 8”-10” long. Bow nav lights flashing intermittently. ",Excellent,Good,Sound
03,Good,05/13/2024,"Minimal, Moderate",,,Good,Good,Sound
04,"Fair, Good",08/06/2024,"Minimal, Moderate",0,,"Fair, Good",Good,Sound
05,"Fair, Good",11/15/2024,"Minimal, Moderate",,,"Fair, Good",Good,Sound
06,Good,02/10/2025,Minimal,,"Fishing line, wire, and tackle wrapped around prop and shaft. ","Fair, Good",Issue,Sound
07,Good,02/12/2025,"Minimal, Moderate",,Fishing line removed,"Fair, Good",Good,Sound
08,Good,05/09/2025,"Minimal, Moderate",,,Fair,Good,Sound
09,Good,07/17/2025,Moderate,,,Fair,Good,Sound
10,Good,10/22/2025,"Heavy, Moderate",,,"Fair, Poor",Good,Sound
