#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
01,Excellent,01/07/2023,Minimal,,Observed a 1-inch long rust-colored patch at keel- to hull juncture. I believe it was on the port side. Prop anode to be replaced on next service,Excellent,Good,Sound
02,"Good, Replaced",02/04/2023,Minimal,,Replaced prop anode,Excellent,Good,Sound
04,"Good, Replaced",07/06/2023,Minimal,,Replaced prop anode,Excellent,Good,Sound
03,"Good, Replaced",04/11/2023,Minimal,,Shaft anode: good. Replaced prop anode,Excellent,Good,Sound
05,"Good, Replaced",10/05/2023,Minimal,,Replaced prop anode,Excellent,Good,Sound
06,"Good, Replaced",01/08/2024,"Minimal, Moderate",,"Iron oxide appearing in various small spots on keel. Sporadic embedded black algae. Replaced prop anode. ",Excellent,Good,Sound
09,"Good, Replaced",03/31/2024,"Minimal, Moderate",,Replaced prop anode,Excellent,Good,Sound
10,"Good, Replaced",07/15/2024,Moderate,,Replaced prop anode,Fair,Good,Sound
11,"Good, Missing, Replaced",10/05/2024,Moderate,,Replaced prop anode,Fair,Good,Sound
12,"Good, Missing, Replaced",01/14/2025,Moderate,,Will return to replace prop anode,Fair,Good,Sound
13,"Good, Missing, Replaced",04/17/2025,Moderate,,,Fair,Good,Sound
14,"Fair, Good",06/10/2025,Moderate,,,"Fair, Poor",Good,Sound
