#,Anodes,Duration,Notes,Paint,Prop,Thru-hulls,Time In,Time Out
01,None,45,45,Poor,None,Sound,1309,1354
04,None,30,,Poor,None,Sound,1750,1820
03,None,29,"Many small blisters. Time to haul out and paint. ",Poor,None,Sound,1235,1304
02,None,36,36,Poor,None,Sound,1541,1617
08,None,27,,"Missing, Poor",None,Sound,1617,1644
07,None,23,,"Missing, Poor",None,Sound,1312,1335
06,None,21,,Poor,None,Sound,1629,1650
05,None,24,,Poor,None,Sound,1346,1410
09,None,29,,"Missing, Poor",None,Sound,1526,1555
10,,20,,,,,1200,1220
11,,20,,,,,1200,1220
12,,17,,,,,1336,1353
