#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,02/02/2023,Good,Moderate,Good,Sound,Good,Scattered blisters,
02,04/03/2023,Good,Moderate,Good,Sound,Good,"Water line starting to develop some tenacious algae, indicative of failing paint in this area",
04,06/05/2023,Good,Minimal,Good,Sound,Good,,
05,08/02/2023,"Fair, Good",Moderate,"Good, Missing",Sound,"Good, Polished",Will order prop nut CMPZ-C,
06,10/08/2023,Fair,Moderate,"Fair, Replaced",Sound,Good,Installed C prop nut,
07,12/05/2023,"Fair, Poor",Moderate,"Fair, Good",Sound,Good,"While paint coverage remains good, antifouling properties are failing allowing heavily embedded black algae through. Many areas will retain a “dirty” appearance until after next haulout, though all protruding growth will continue to be removed. ",
08,02/05/2024,"Fair, Poor",Moderate,"Fair, Good",Sound,Good,"About a dozen blisters observed on starboard side, from nickel to silver dollar sized. ",
09,04/10/2024,"Fair, Poor","Heavy, Moderate","Good, Replaced",Sound,Good,Replaced C prop nut anode,
10,06/12/2024,"Fair, Poor","Heavy, Moderate",Good,Sound,Good,,
11,08/08/2024,"Fair, Poor","Heavy, Moderate","Good, Replaced",Sound,Good,Replaced C prop nut anode,
12,10/18/2024,"Fair, Poor","Heavy, Moderate",Good,Sound,Good,,
13,12/12/2024,"Fair, Poor",Moderate,"Fair, Good",Sound,Good,,
14,03/21/2025,"Fair, Poor",Moderate,"Fair, Good",Sound,Good,"Prop nut anode due for replacement on next service.  ",
