#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
01,Good,02/02/2023,Moderate,,Scattered blisters,Good,Good,Sound
02,Good,04/03/2023,Moderate,,"Water line starting to develop some tenacious algae, indicative of failing paint in this area",Good,Good,Sound
04,Good,06/05/2023,Minimal,,,Good,Good,Sound
06,"Fair, Replaced",10/08/2023,Moderate,,Installed C prop nut,Fair,Good,Sound
07,"Fair, Good",12/05/2023,Moderate,,"While paint coverage remains good, antifouling properties are failing allowing heavily embedded black algae through. Many areas will retain a “dirty” appearance until after next haulout, though all protruding growth will continue to be removed. ","Fair, Poor",Good,Sound
05,"Good, Missing",08/02/2023,Moderate,,Will order prop nut CMPZ-C,"Fair, Good","Good, Polished",Sound
09,"Good, Replaced",04/10/2024,"Heavy, Moderate",,Replaced C prop nut anode,"Fair, Poor",Good,Sound
08,"Fair, Good",02/05/2024,Moderate,,"About a dozen blisters observed on starboard side, from nickel to silver dollar sized. ","Fair, Poor",Good,Sound
10,Good,06/12/2024,"Heavy, Moderate",,,"Fair, Poor",Good,Sound
11,"Good, Replaced",08/08/2024,"Heavy, Moderate",,Replaced C prop nut anode,"Fair, Poor",Good,Sound
12,Good,10/18/2024,"Heavy, Moderate",,,"Fair, Poor",Good,Sound
13,"Fair, Good",12/12/2024,Moderate,,,"Fair, Poor",Good,Sound
14,"Fair, Good",03/21/2025,Moderate,,"Prop nut anode due for replacement on next service.  ","Fair, Poor",Good,Sound
