#,Anodes,Date,Duration,Notes,Paint,Prop,Thru-hulls,Time In,Time Out
01,None,03/06/2023,38,,Good,None,Sound,1326,1404
02,None,05/03/2023,30,,Good,None,Sound,1500,1530
03,None,07/06/2023,30,,Good,None,Sound,1230,1300
05,None,11/04/2023,41,,"Fair, Good",None,Sound,1340,1421
04,None,09/08/2023,35,,"Fair, Good",None,Sound,1258,1333
06,None,01/08/2024,33,,Fair,None,Sound,1231,1304
08,None,05/16/2024,21,,Fair,None,Sound,1113,1134
07,None,03/01/2024,27,,Fair,None,Sound,1153,1220
11,None,11/08/2024,15,,"Fair, Poor",None,Sound,1255,1310
10,None,09/09/2024,22,,"Fair, Poor",None,Sound,1333,1355
09,None,07/15/2024,17,,Fair,None,Sound,1357,1414
12,,02/17/2025,10,,,,,1247,1257
13,,08/06/2025,15,,,,,1230,1245
