#,Date,Interval,Secondary Visit,Time In,Time Out,Duration,Time Base Fee,Xtra Minutes,$ Time,Growth,Anode,# Installed,Materials,Adjustments,Total,Monthly
13,,2,No,1300,1337,37,$99.00,17,$34.00,,,,,,$133.00,$66.00
12,,2,No,1205,1242,37,$99.00,17,$34.00,,,,,,$133.00,$66.00
11,,2,No,1532,1609,37,$99.00,17,$34.00,,,,,,$133.00,$66.00
10,,2,No,1328,1410,42,$99.00,22,$44.00,,,,,$0.00,$143.00,$71.00
09,,2,No,1050,1157,67,$99.00,47,$94.00,,,,,,$193.00,$96.00
06,,2,No,1120,1200,40,$99.00,20,$40.00,,,,,,$139.00,$69.00
07,,2,No,1408,1446,38,$99.00,18,$36.00,,,,,,$135.00,$67.00
04,,2,No,1110,1202,52,$99.00,32,$64.00,,,,,,$163.00,$81.00
08,,2,No,1530,1634,64,$99.00,44,$88.00,,,,,,$187.00,$93.00
02,,2,No,1651,1751,60,$99.00,40,$80.00,,,,,,$179.00,$89.00
03,,2,No,1612,1702,50,$99.00,30,$60.00,,,,,,$159.00,$79.00
01,,2,No,,,0,$99.00,0,$0.00,,,,,,$99.00,$49.00
