#,# Installed,$ Time,Adjustments,Anode,Anodes,Date,Duration,Growth,Interval,Materials,Monthly,Notes,Paint,Prop,Secondary Visit,Thru-hulls,Time Base Fee,Time In,Time Out,Total,Xtra Minutes
01,,$0.00,,,Good,,0,,2,,$49.00,Prop polished,"Fair, Good",Good,No,Sound,$99.00,,,$99.00,0
02,,$80.00,,,Fair,,60,,2,,$89.00,"Anti-fouling properties failing. ","Fair, Poor",Good,No,Sound,$99.00,1651,1751,$179.00,40
03,,$60.00,,,"Good, Replaced",,50,,2,,$79.00,Replaced prop nut anode CMPZ-D,"Fair, Good",Good,No,Sound,$99.00,1612,1702,$159.00,30
06,,$40.00,,,Fair,,40,,2,,$69.00,,"Fair, Poor",Good,No,Sound,$99.00,1120,1200,$139.00,20
07,,$36.00,,,Fair,,38,,2,,$67.00,,"Fair, Poor",Good,No,Sound,$99.00,1408,1446,$135.00,18
04,,$64.00,,,"Fair, Good",,52,,2,,$81.00,"Approaching haulout time between 6 months to a year from now. ","Fair, Poor",Good,No,Sound,$99.00,1110,1202,$163.00,32
08,,$88.00,,,"Fair, Good",,64,,2,,$93.00,"Will need divers dream mini and prop nut CMPZ-D on next service. ","Fair, Poor",Good,No,Sound,$99.00,1530,1634,$187.00,44
10,,$44.00,$0.00,,Good,,42,,2,,$71.00,"Widespread embedded black algae in paint, indicative of anti-fouling properties failure. Cleaning will involve removing surface growth only to preserve paint coverage and protect marine environment. ",Fair,Good,No,Sound,$99.00,1328,1410,$143.00,22
09,,$94.00,,,"Fair, Replaced",,67,,2,,$96.00,Installed hull zinc and prop anode D.,Fair,Good,No,"Possible Issue, Sound",$99.00,1050,1157,$193.00,47
11,,$34.00,,,Good,,37,,2,,$66.00,,Fair,Good,No,Sound,$99.00,1532,1609,$133.00,17
12,,$34.00,,,,,37,,2,,$66.00,,,,No,,$99.00,1205,1242,$133.00,17
13,,$34.00,,,,,37,,2,,$66.00,,,,No,,$99.00,1300,1337,$133.00,17
