#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
02,Fair,05/05/2023,"Heavy, Moderate",,"Anti-fouling properties failing. ","Fair, Poor",Good,Sound
01,Good,02/06/2023,"Heavy, Moderate",,Prop polished,"Fair, Good",Good,Sound
03,"Good, Replaced",07/06/2023,"Minimal, Moderate",,Replaced prop nut anode CMPZ-D,"Fair, Good",Good,Sound
06,Fair,09/09/2023,Moderate,,,"Fair, Poor",Good,Sound
07,Fair,10/05/2023,Moderate,,,"Fair, Poor",Good,Sound
04,"Fair, Good",09/11/2023,"Heavy, Moderate",,"Approaching haulout time between 6 months to a year from now. ","Fair, Poor",Good,Sound
08,"Fair, Good",11/05/2023,"Heavy, Moderate",,"Will need divers dream mini and prop nut CMPZ-D on next service. ","Fair, Poor",Good,Sound
09,"Fair, Replaced",01/09/2024,Moderate,,Installed hull zinc and prop anode D.,Fair,Good,"Possible Issue, Sound"
10,Good,03/05/2024,"Minimal, Moderate",,"Widespread embedded black algae in paint, indicative of anti-fouling properties failure. Cleaning will involve removing surface growth only to preserve paint coverage and protect marine environment. ",Fair,Good,Sound
11,Good,05/01/2024,Moderate,,,Fair,Good,Sound
12,"Fair, Good",07/10/2024,Moderate,,,Fair,Good,Sound
13,Good,08/13/2024,Moderate,,,Fair,Polished,Sound
,,,,,,,,
