#,Anodes,Date,Duration,Notes,Paint,Prop,Thru-hulls,Time In,Time Out
02,Fair,03/03/2023,23,,Poor,Good,Sound,1224,1247
01,Fair,01/11/2023,26,"Attention: widespread osmotic blistering on rudder, keel and hull. All appear to be roughly dime-sized.",Poor,Good,Sound,0,26
03,Fair,05/04/2023,28,,Poor,Good,Sound,1210,1238
05,"Fair, Good",09/08/2023,30,"Paint has failed. Widespread blistering and shelled animal growth ",Poor,Good,Sound,957,1027
06,"Fair, Good",11/03/2023,23,,Poor,Good,Sound,1310,1333
04,Fair,07/02/2023,28," Barnacles may be penetrating the fiberglass ",Poor,Good,Sound,1739,1807
09,Fair,05/02/2024,26,,"Missing, Poor",Good,Sound,1411,1437
08,"Fair, Good",03/11/2024,27,,"Missing, Poor",Good,Sound,1205,1232
07,"Fair, Good",01/09/2024,20,,Poor,Good,Sound,1444,1504
10,"Fair, Good",07/12/2024,18,,"Missing, Poor",Good,Sound,1116,1134
11,Fair,09/23/2024,20,,"Missing, Poor",Good,Sound,1355,1415
12,,11/13/2024,10,,,,,1147,1157
13,,01/16/2025,9,,,,,1431,1440
