#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,03/03/2023,"Excellent, Poor","Minimal, Moderate",None,Sound,None,"Rudder is starting to develop more tenacious growth, recommend pulling it up out of the water or painting it with anti-fouling paint.
Recommend adding a split-ring to the lower gudgeon pin.",
02,05/04/2023,"Excellent, Poor","Heavy, Minimal",None,Sound,None,Rudder is developing lots of barnacles. It is in urgent need of paint or removal from the water.,
03,07/06/2023,Excellent,"Minimal, Moderate",None,Sound,None,,
04,09/08/2023,"Excellent, Poor","Heavy, Minimal",None,Sound,None,"Rudder should be removed from water or painted ",
05,11/03/2023,Excellent,Minimal,None,Sound,None,I was able to pull up the rudder!,
06,01/07/2024,"Excellent, Fair","Minimal, Moderate",None,Sound,Good,,
07,03/08/2024,"Fair, Missing",Moderate,None,Sound,None,Paint missing in bow area,
08,05/02/2024,"Fair, Missing",Moderate,None,Sound,None,,
09,07/12/2024,"Fair, Missing, Poor","Heavy, Minimal",None,Sound,None,,
10,09/13/2024,"Missing, Poor","Heavy, Minimal",None,Sound,None,1212,
11,11/13/2024,"Missing, Poor","Heavy, Moderate",None,Sound,None,,
12,01/16/2025,"Missing, Poor","Heavy, Moderate",None,Sound,None,,
13,03/24/2025,"Missing, Poor","Heavy, Moderate",None,Sound,None,,
14,05/02/2025,"Missing, Poor","Heavy, Moderate",None,Sound,None,,
15,07/18/2025,"Missing, Poor","Heavy, Moderate",None,Sound,None,,
16,09/18/2025,Missing,"Heavy, Severe",None,Sound,None,,
