#,Anodes,Date,Growth,Notes,Paint,Prop,Thru-hulls
01,None,09/08/2023,Minimal,,Excellent,None,Sound
02,None,10/09/2023,Minimal,,Excellent,None,None
04,None,12/01/2023,Minimal,,Excellent,None,Sound
03,None,11/10/2023,Minimal,,Excellent,None,Sound
06,None,02/03/2024,Minimal,"Small gouge through gel coat on forward, lower rudder edge. Heavy scuffing and light gouging on keel and rudder. No significant damage. ",Excellent,None,Sound
05,None,01/10/2024,Minimal,"Have a great race! ",Excellent,None,Sound
07,None,03/08/2024,Minimal,,Excellent,None,Sound
09,None,05/03/2024,Minimal,,Excellent,None,Sound
08,None,04/05/2024,Minimal,,Excellent,None,Sound
10,None,06/07/2024,Minimal,,Excellent,None,Sound
11,None,07/12/2024,Minimal,,Excellent,None,Sound
12,None,08/09/2024,Minimal,,Excellent,None,Sound
13,None,09/13/2024,Minimal,,Excellent,None,Sound
14,None,10/10/2024,Minimal,,Excellent,None,Sound
15,None,03/07/2025,Minimal,,Excellent,None,Sound
16,None,04/17/2025,Minimal,,Excellent,None,Sound
17,None,05/15/2025,Minimal,,Excellent,None,Sound
18,None,06/19/2025,Minimal,,Excellent,None,Sound
19,None,08/13/2025,Minimal,Tiny blisters evident below starboard waterline,Excellent,None,Sound
20,None,09/18/2025,Minimal,,Excellent,None,Sound
21,,10/20/2025,,,,,
