#,Add. Time,Anodes,Base Fee,Date,Duration,Growth,Interval,Materials,Monthly,Notes,Paint,Prop,Thru-hulls,Time In,Time Out,Total
01,$14.00,"Fair, Good",$89.00,02/04/2023,27,"Minimal, Moderate",1,,$103.00,"Sail drive needs a new anode, polished prop",Fair,Good,Sound,1200,1227,$103.00
02,$50.00,"Excellent, Good",$89.00,03/04/2023,45,"Minimal, Moderate",1,$89.00,$228.00,"Replaced Gori prop anode ($80.55 + tax), sail drive anode will need replacing soon",Fair,Good,Sound,1216,1301,$228.00
03,$14.00,"Excellent, Good",$89.00,04/07/2023,27,"Minimal, Moderate",1,,$103.00,,Good,Good,Sound,1212,1239,$103.00
05,$18.00,Good,$89.00,06/02/2023,29,Minimal,1,,$107.00,"I neglected to shoot the “after” video. My apologies. The visibility was extraordinarily poor, so please let me know if you notice anything I may have missed. No charge for extra time this time.","Fair, Good",Good,Sound,1248,1317,$107.00
06,$32.00,Good,$89.00,07/06/2023,36,"Heavy, Moderate",1,,$121.00,,"Fair, Good",Good,Sound,1303,1339,$121.00
04,$40.00,"Fair, Good",$89.00,05/05/2023,40,"Minimal, Moderate",1,,$129.00,,"Fair, Good",Good,Sound,907,947,$129.00
07,$10.00,Good,$89.00,08/04/2023,25,"Minimal, Moderate",1,,$99.00,,Good,Good,Sound,1307,1332,$99.00
08,$14.00,"Fair, Good",$89.00,09/08/2023,27,"Minimal, Moderate",1,,$103.00,,"Excellent, Good",Good,Sound,1345,1412,$103.00
09,$2.00,Fair,$89.00,10/05/2023,21,"Minimal, Moderate",1,,$91.00,,"Excellent, Good",Good,Sound,1338,1359,$91.00
10,$6.00,Fair,$89.00,11/04/2023,23,"Minimal, Moderate",1,,$95.00,,"Fair, Good",Good,Sound,1425,1448,$95.00
