#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
01,Excellent,02/04/2023,"Minimal, Moderate",,Observational visit. Moderate slime growth in many patches and on keel bulb. Hard-shelled animal growths on keel bulb were removed,Excellent,Good,Sound
03,"Good, Poor",06/05/2023,Minimal,,Prop needs new anode. Recommend running the bowthruster more often to reduce growth. All other aspects of running gear and hull look great.,Excellent,Good,Sound
02,Excellent,04/04/2023,Minimal,,Propspeed excellent,"Excellent, Good",Good,Sound
05,"Fair, Poor",12/10/2023,"Heavy, Minimal",,"Gori triangle to be replaced in coming days. Gory ring in fair condition, I will have one ready to install in next service if necessary. No noticeable play in prop or cutlass bearing. Hard growth over keel bulb. Thruster looked good. Fridge anodes good. ",Excellent,Good,Sound
04,"Good, Replaced",06/13/2023,Minimal,,Replaced Gori prop triangle anode,Excellent,Good,Sound
07,Excellent,02/06/2024,Minimal,,,Excellent,Good,Sound
06,Replaced,12/17/2023,Not Evaluated,,"Intalled triangle zinc anode for Gori propeller ",Excellent,Good,Sound
08,Good,04/10/2024,"Heavy, Moderate",,"Propspeed is failing. Scattered barnacles on prop and keel bulb. Camera malfuction resulted in no ‘before’ video. ",Good,Good,Sound
09,Good,06/12/2024,"Heavy, Moderate",,,Good,Good,Sound
10,Good,07/09/2024,"Heavy, Moderate",,,"Fair, Good",Good,Sound
11,Good,09/16/2024,Moderate,,,"Fair, Good",Good,Sound
12,"Good, Poor",11/21/2024,Moderate,,"Will return to replace prop anode
","Fair, Good",Good,Sound
13,Replaced,11/22/2024,,,Installed Gori prop zinc,,,
14,"Excellent, Good",01/13/2025,Moderate,,,"Fair, Good",Good,Sound
15,"Excellent, Good",03/24/2025,Moderate,,,"Fair, Good",Good,Sound
16,Good,05/13/2025,"Heavy, Moderate",,Bow thruster anode likely ready to change,Fair,Good,Sound
17,Good,06/06/2025,Moderate,,,Fair,Good,Sound
18,Excellent,08/11/2025,Minimal,,,Excellent,Polished,Sound
19,"Good, Replaced",10/17/2025,Minimal,,Replaced Gori prop anode,Excellent,Polished,Sound
