#,# Installed,$ Time,Adjustments,Anodes,Date,Duration,Materials,Monthly,Notes,Paint,Prop,Secondary Visit,Thru-hulls,Time Base Fee,Time In,Time Out,Total,Xtra Minutes
01,,$2.00,,None,,21,,,,"Good, Poor",None,No,Sound,,1537,1558,,1
03,,$16.00,,None,,28,,,"Growth is increasing in tenacity. ","Fair, Poor",None,No,Sound,,1024,1052,,8
02,,$0.00,,None,,20,,,Sink discharge appears to be affecting bottom paint around that thru-hull. Avoid allowing bleach down the drain.,"Fair, Poor",None,No,Sound,,1733,1753,,0
06,,$2.00,,None,,21,,,,"Missing, Poor",None,No,Sound,,1419,1440,,1
04,,$2.00,,None,,21,,,,"Fair, Poor",None,No,Sound,,1350,1411,,1
05,,$0.00,,None,,19,,,Rudder is missing most of the paint,"Missing, Poor",None,No,Sound,,1708,1727,,0
07,,$0.00,,,"October 18, 2024",18,,,,,,No,,,1207,1225,,0
08,,$0.00,,,"January 13, 2025",20,,,,,,No,,,1355,1415,,0
09,,$0.00,,,,-940,,,,,,No,,,1540,,,0
10,,$0.00,,,,0,,,,,,No,,,,,,0
