#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,04/14/2023,"Fair, Poor","Heavy, Moderate",Good,Sound,Good,Keel paint in very poor condition.,
02,06/04/2023,"Good, Poor","Heavy, Moderate",Good,Sound,Good,Paint missing in patches around the hull.,
03,08/05/2023,"Fair, Missing","Heavy, Moderate","Good, Replaced",Sound,Polished,"Replaced shaft anodes. Paint missing along waterline and large areas of keel where rust is prominent. ",
04,10/08/2023,"Fair, Poor","Heavy, Moderate",Fair,Sound,Good,,
05,12/08/2023,"Fair, Missing","Heavy, Minimal",Missing,Sound,Good,Shaft anodes absent. Will procure and replace post-haste!,
06,12/17/2023,,Not Evaluated,Replaced,,Good,Installed 1” heavy streamlined shaft anode,
07,02/03/2024,"Fair, Missing","Minimal, Moderate",Fair,Sound,Good,,
08,03/31/2024,"Fair, Missing","Minimal, Moderate",Replaced,Sound,Good,Installed 1” heavy streamlined shaft anode,
09,06/10/2024,"Fair, Missing","Heavy, Moderate",Good,Sound,Good,"Just a quick knocking of if the big stuff so you’ll have good maneuverability and won’t be charged excessive growth fees by the yard. Have a great haulout! ",
10,09/20/2024,Excellent,Minimal,"Fair, Replaced",Sound,Good,,
11,11/12/2024,Excellent,Minimal,"Fair, Good",Sound,Good,,
12,01/08/2025,Excellent,Minimal,Replaced,Sound,Good,,
13,03/07/2025,"Excellent, Good",Minimal,"Fair, Good",Sound,Good,,
14,05/12/2025,Good,Moderate,Good,Sound,Good,,
15,07/17/2025,Good,Moderate,"Fair, Good",Sound,Good,,
16,09/29/2025,"Fair, Good",Moderate,Good,Sound,Good,,
