#,$ Materials,$ Time,Adjustments,Base Fee,Date,Duration,Interval,Monthly,Secondary Visit,Time In,Time Out,Total,Xtra Minutes
01,,$6.00,,$99.00,01/06/2023,23,1,$105.00,No,1200,1223,$105.00,3
12,,$0.00,,$99.00,02/06/2024,12,1,$99.00,No,1145,1157,$99.00,0
08,,$4.00,,$99.00,08/04/2023,22,1,$103.00,No,1105,1127,$103.00,2
02,,$0.00,,$99.00,02/03/2023,19,1,$99.00,No,1120,1139,$99.00,0
07,,$8.00,,$99.00,07/06/2023,24,1,$107.00,No,1153,1217,$107.00,4
06,,$2.00,,$99.00,05/04/2023,21,1,$101.00,No,1405,1426,$101.00,1
05,,$6.00,,$99.00,06/02/2023,23,1,$105.00,No,1117,1140,$105.00,3
04,,$0.00,,$99.00,04/07/2023,18,1,$99.00,No,1140,1158,$99.00,0
09,,$2.00,,$99.00,09/08/2023,21,1,$101.00,No,1107,1128,$101.00,1
03,,$0.00,,$99.00,03/03/2023,18,1,$99.00,No,1439,1457,$99.00,0
13,,$0.00,,$99.00,03/01/2024,12,1,$99.00,No,1303,1315,$99.00,0
11,,$0.00,,$99.00,01/10/2024,11,1,$99.00,No,1251,1302,$99.00,0
10,,$48.00,,$99.00,10/06/2023,44,1,$147.00,No,1215,1259,$147.00,24
14,,$0.00,,$99.00,04/05/2024,15,1,$99.00,No,1257,1312,$99.00,0
15,,$0.00,,$99.00,05/03/2024,13,1,$99.00,No,1444,1457,$99.00,0
16,,$0.00,,$99.00,06/07/2024,12,1,$99.00,No,1424,1436,$99.00,0
17,,$0.00,,$99.00,07/12/2024,12,1,$99.00,No,1341,1353,$99.00,0
18,,$0.00,,$99.00,08/09/2024,12,1,$99.00,No,1425,1437,$99.00,0
19,,$0.00,,$99.00,09/26/2024,17,1,$99.00,No,1408,1425,$99.00,0
20,,$0.00,,$99.00,11/08/2024,12,1,$99.00,No,1318,1330,$99.00,0
23,,$0.00,,$99.00,01/22/2025,13,,$0.00,No,1256,1309,$99.00,0
22,,$0.00,,$99.00,12/06/2024,6,1,$99.00,No,1310,1316,$99.00,0
24,,$0.00,,$99.00,02/17/2025,10,,$0.00,No,1300,1310,$99.00,0
26,,$0.00,,$99.00,04/17/2025,14,,$0.00,No,1222,1236,$99.00,0
27,,$0.00,,$99.00,06/06/2025,18,,$0.00,No,1220,1238,$99.00,0
28,,$0.00,,$99.00,08/06/2025,8,,$0.00,No,1247,1255,$99.00,0
30,,$0.00,,$99.00,10/14/2025,9,,$0.00,No,1425,1434,$99.00,0
29,,$0.00,,$99.00,09/22/2025,11,,$0.00,No,1650,1701,$99.00,0
