#,Anodes,Date,Growth,Interval,Notes,Paint,Prop,Thru-hulls
01,None,06/01/2023,Severe,2,"Widespread very heavy hard shelled animal growth. Haul out is urgent. ",Missing,None,Sound
02,None,08/01/2023,Severe,2,,Missing,None,Sound
05,None,02/07/2024,Severe,2,,Missing,None,Possible Issue
03,None,10/01/2023,Severe,2,"Equipment malfunction on 10-1, returned 10-9 (1104-1114) to finish. Speed sensor arm on starboard side next to the keel is a bit loose.",Missing,None,Possible Issue
04,None,12/03/2023,Severe,2,,Missing,None,Possible Issue
06,None,04/03/2024,Severe,2,,Missing,None,Possible Issue
07,None,06/13/2024,Severe,,,Missing,None,Possible Issue
08,None,08/12/2024,Severe,3,,Missing,None,Sound
09,None,10/10/2024,Severe,,,Missing,None,Sound
10,None,12/11/2024,Heavy,,,Missing,None,Sound
11,None,02/20/2025,Heavy,,,Missing,None,Sound
12,None,04/18/2025,Heavy,,,Missing,None,Sound
13,None,06/10/2025,Heavy,,,Missing,None,Sound
14,None,08/13/2025,Heavy,,,Missing,None,Sound
