#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,12/01/2023,Missing,Severe,Missing,Sound,Good,"Severe growth throughout, no paint remaining beneath. No anodes present, metal in good condition. Will source prop and shaft anodes and return. Please secure helm to one side for installation of prop anode. ",
02,01/09/2024,Missing,Moderate,Replaced,Sound,Good,Installed prop nut A. Please check that the rudder clears.,
03,02/07/2024,Missing,Moderate,Good,Sound,Good,,
04,03/11/2024,Missing,Moderate,Fair,Sound,Good,,
05,04/02/2024,Missing,Moderate,Good,Sound,Good,,
06,05/06/2024,Missing,Moderate,Fair,Sound,Good,,
07,06/13/2024,Missing,"Heavy, Moderate",Fair,Sound,Good,,
08,07/12/2024,Missing,Heavy,Replaced,Sound,Good,,
09,08/09/2024,Missing,Heavy,Good,Sound,Good,,
10,09/10/2024,Missing,Heavy,Fair,Sound,Good,,
11,10/01/2024,Missing,Moderate,Fair,Sound,Good,,
12,11/13/2024,Missing,Moderate,Fair,Sound,Good,,
13,12/11/2024,Missing,Moderate,Fair,Sound,Good,,
14,01/16/2025,Missing,Moderate,Fair,Sound,Good,,
15,02/20/2025,Missing,Moderate,Fair,Sound,Good,,
16,03/25/2025,Missing,Moderate,Fair,Sound,Good,,
17,04/18/2025,Missing,Heavy,Fair,Sound,Good,,
18,05/13/2025,Missing,Heavy,Fair,Sound,Good,,
19,06/09/2025,Missing,Heavy,Fair,Sound,Good,,
20,07/16/2025,Missing,Heavy,Fair,Sound,Good,,
21,08/13/2025,Missing,Heavy,Fair,Sound,Good,,
22,09/18/2025,Missing,"Heavy, Severe",Fair,Sound,Good,Please secure helm to one side for anode replacement,
23,10/20/2025,Missing,Heavy,Missing,Sound,Good,,
