#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,12/01/2023,Missing,Severe,Missing,Sound,Good,"Severe growth throughout, no paint remaining beneath. No anodes present, metal in good condition. Will source prop and shaft anodes and return. Please secure helm to one side for installation of prop anode. ",
02,01/09/2024,Missing,Moderate,Replaced,Sound,Good,Installed prop nut A. Please check that the rudder clears.,
03,02/07/2024,Missing,Moderate,Good,Sound,Good,,
04,03/11/2024,Missing,Moderate,Fair,Sound,Good,,
05,04/02/2024,Missing,Moderate,Good,Sound,Good,,
06,05/06/2024,Missing,Moderate,Fair,Sound,Good,,
07,06/13/2024,Missing,"Heavy, Moderate",Fair,Sound,Good,,
08,07/12/2024,Missing,Heavy,Replaced,Sound,Good,,
09,08/09/2024,Missing,Heavy,Good,Sound,Good,,
10,09/10/2024,Missing,Heavy,Fair,Sound,Good,,
,,,,,,,,
