#,Date,Time In,Time Out,Duration
01,01/04/2023,,,0
02,02/04/2023,,,0
03,03/04/2023,1026,1050,24
04,04/07/2023,1242,1311,29
05,07/06/2023,1450,1510,20
06,03/05/2024,1215,1238,23
07,04/05/2024,1341,1357,16
08,05/03/2024,1615,1628,13
09,05/31/2024,1458,1517,19
10,07/12/2024,1415,1435,20
11,08/09/2024,1439,1457,18
12,09/14/2024,1226,1242,16
13,,1220,1234,14
13,10/08/2024,1058,1118,20
14,11/08/2024,1400,1415,15
15,12/06/2024,1321,1335,14
16,,1311,1327,16
17,,1153,1208,15
21,,1135,1154,19
22,08/06/2025,1430,1440,10
24,10/14/2025,1440,1512,32
