#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,01/08/2023,Excellent,Minimal,Excellent,Sound,Good,,
02,04/14/2023,Excellent,Minimal,Good,Sound,Good,"Forward transducer on starboard side appears damaged, see video",
03,07/05/2023,Excellent,"Minimal, Moderate",Fair,Sound,Good,May replace divers dream next visit. Minor damage to forward transducer housing.,
04,10/03/2023,Excellent,"Minimal, Moderate",Fair,Sound,Good,Transom anode is a ZHC-2,
05,01/04/2024,Excellent,"Minimal, Moderate",Fair,Sound,Good,,
06,03/31/2024,Good,"Minimal, Moderate",Fair,Sound,Good,,
07,07/05/2024,Good,Moderate,Fair,Sound,Good,,
08,10/09/2024,Good,Moderate,Missing,Sound,Good,Will return to replace Diver’s Dream anode.,
09,12/08/2024,Not Evaluated,Not Evaluated,Replaced,Not Evaluated,Not Evaluated,"Installed divers dream large ",
10,01/07/2025,"Fair, Good",Moderate,Excellent,Sound,Good,"Paint is beginning to lose antifouling properties
",
11,04/14/2025,Fair,Moderate,Excellent,Sound,Good,,
12,07/10/2025,Fair,Moderate,Excellent,Sound,Good,,
13,10/21/2025,"Fair, Poor","Heavy, Moderate",Excellent,Sound,Good,,
