#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,03/04/2023,Excellent,Minimal,None,Sound,None,,
02,05/01/2023,Excellent,Minimal,None,Sound,None,,
03,07/02/2023,Excellent,Minimal,None,Sound,None,,
04,09/06/2023,Excellent,Minimal,None,Sound,None,,
05,11/02/2023,Excellent,Minimal,None,Sound,None,,
06,01/07/2024,"Excellent, Good","Minimal, Moderate",None,Sound,None,,
07,03/04/2024,Good,"Minimal, Moderate",None,Sound,None,,
08,05/07/2024,Good,"Minimal, Moderate",None,Sound,None,,
09,09/14/2024,Fair,"Heavy, Moderate",None,Sound,None,,
10,11/25/2024,Fair,"Heavy, Moderate",None,Sound,None,,
11,01/16/2025,Fair,Moderate,None,Sound,None,,
12,03/25/2025,Fair,Moderate,None,Sound,None,,
13,05/15/2025,Fair,Moderate,None,Sound,None,,
14,07/18/2025,"Fair, Poor","Heavy, Moderate",None,Sound,None,,
15,09/18/2025,"Fair, Poor","Heavy, Moderate",None,Sound,None,,
