#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
01,None,10/21/2024,"Heavy, Moderate",,,"Missing, Poor",None,Sound
02,None,01/22/2025,Heavy,,,"Missing, Poor",None,Sound
03,None,03/21/2025,Moderate,,,"Missing, Poor",None,Sound
04,None,04/04/2025,Moderate,,,"Missing, Poor",None,Sound
05,None,05/12/2025,Heavy,,,"Missing, Poor",None,Sound
06,None,06/02/2025,Moderate,,,"Missing, Poor",None,Sound
07,None,07/10/2025,"Heavy, Moderate",,,"Missing, Poor",None,Sound
08,None,08/07/2025,"Heavy, Moderate",,,"Missing, Poor",None,Sound
09,None,09/25/2025,"Heavy, Moderate",,,"Missing, Poor",None,Sound
10,None,10/21/2025,"Heavy, Moderate",,,Missing,None,Sound
