#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,02/02/2023,Fair,"Minimal, Moderate",Good,Sound,"Good, Polished","The prop nut anode is in poor condition and will be replaced on the next service.The paint is worn through along the edges of the keel and rudder, thru-hulls and transducer. There are multiple layers of paint missing in a 3” x 3” patch extending from the grounding plate on forward starboard side. Small osmotic blisters observed on rudder and hull along the waterline. ",
02,04/06/2023,Fair,"Minimal, Moderate","Excellent, Fair",Sound,Good,"Replaced prop nut, shaft on next service",
03,06/01/2023,"Fair, Poor","Heavy, Moderate","Fair, Good",Sound,Good,"Some paint chips missing along waterline, heavy growth starting in these areas. Will replace shaft anode on next service. Visibility very poor, may have missed a spot or two ",
04,08/01/2023,"Fair, Poor","Heavy, Moderate","Fair, Replaced",Sound,Good,Installed shaft anode,
05,10/01/2023,"Fair, Poor","Heavy, Moderate","Fair, Good",Sound,Good,Prop anode to be replaced on next service,
06,12/10/2023,"Fair, Poor",Moderate,"Good, Replaced",Sound,Good,"Installed prop nut anode C. ",
07,05/14/2024,Excellent,Minimal,"Fair, Good",Sound,Good,,
08,07/05/2024,Excellent,Minimal,"Fair, Good",Sound,Good,,
09,09/21/2024,Excellent,Minimal,"Fair, Good",Sound,Good,,
10,11/15/2024,Excellent,Minimal,"Fair, Good",Sound,Good,,
11,01/23/2025,Excellent,Minimal,"Good, Replaced",Sound,Good,Installed prop nut anode C,
12,03/13/2025,Excellent,Minimal,Good,Sound,Good,,
13,05/13/2025,Excellent,Minimal,Good,Sound,Good,,
14,07/18/2025,Excellent,Minimal,Good,Sound,Good,,
15,09/22/2025,Excellent,Minimal,Good,Sound,Good,,
