#,$ Materials,$ Time,Adjustments,Anodes,Base Fee,Date,Duration,Growth,Interval,Monthly,Notes,Paint,Prop,Secondary Visit,Thru-hulls,Time In,Time Out,Total,Xtra Minutes
09,,$38.00,,Fair,$99.00,12/04/2023,39,"Heavy, Moderate",2,$68.00,,"Missing, Poor",Good,No,Sound,1136,1215,$137.00,19
04,,$24.00,,Missing,$99.00,03/04/2023,32,Moderate,2,$61.00,"I attempted to install the prop nut anode but found the standard bolt included with the anode is too short. It's possible I didn't have the right size anode as well, either way that's on me. I'll acquire some more options and try again this week.

I was able to mostly get around the trim tab using a small bottle brush.","Missing, Poor","Good, Polished",No,,1054,1126,$123.00,12
10,,$34.00,,Replaced,$99.00,02/08/2024,37,Moderate,2,$66.00,,"Missing, Poor",Good,No,Sound,1547,1624,$133.00,17
08,,$26.00,,Good,$99.00,10/05/2023,33,"Heavy, Moderate",2,$62.00,,"Missing, Poor","Good, Polished",No,Sound,1215,1248,$125.00,13
02,,$28.00,,Missing,$99.00,02/06/2023,14,,2,$14.00,Anode sizing attempt,,Good,Yes,,1035,1049,$28.00,14
03,,$36.00,,Missing,$99.00,02/16/2023,18,,2,$18.00,"Attempted install of slim shaft collar, not enough clearance. ",,Good,Yes,,1236,1254,$36.00,18
01,,$60.00,,Missing,$99.00,02/05/2023,50,Moderate,2,$79.00,,"Missing, Poor",Good,No,Sound,1455,1545,$159.00,30
07,,$28.00,,Good,$99.00,08/03/2023,34,"Heavy, Moderate",2,$63.00,,"Missing, Poor","Good, Polished",No,Sound,1427,1501,$127.00,14
06,,$40.00,,Replaced,$99.00,06/03/2023,40,Heavy,2,$69.00,"Barnacles widespread. Paint has failed, missing. ","Missing, Poor",Good,No,Sound,1056,1136,$139.00,20
05,,$26.00,,Missing,$99.00,04/11/2023,33,Moderate,2,$62.00,"Did not have the correct anode in stock. Ordering today, will try again.","Missing, Poor",Good,No,Sound,1620,1653,$125.00,13
11,,$46.00,,,$99.00,02/09/2024,23,"Heavy, Moderate",2,$23.00,"Using a much coarser brush to get the deep algae out of the paint,  it’s a process over multiple services. ","Missing, Poor",Good,Yes,Sound,1429,1452,$46.00,23
12,,$16.00,,,$99.00,04/05/2024,28,,2,$57.00,,,,No,,1314,1342,$115.00,8
13,,$8.00,,,$99.00,06/14/2024,24,"Heavy, Moderate",2,$53.00,,Fair,None,No,Sound,1338,1402,$107.00,4
14,,$18.00,,,$99.00,08/13/2024,29,,2,$58.00,,,,No,,1330,1359,$117.00,9
15,,$26.00,,,$99.00,10/08/2024,33,,2,$62.00,,,,No,,1120,1153,$125.00,13
