#,# Installed,$ Time,Adjustments,Anodes,Date,Duration,Materials,Monthly,Notes,Paint,Prop,Secondary Visit,Thru-hulls,Time Base Fee,Time In,Time Out,Total,Xtra Minutes
01,,,,Fair,,122,,,Camera battery died prematurely. No “after” video this time 😞,"Excellent, Fair",Good,No,Sound,,1657,1859,,102
02,,,,Fair,,58,,,Prop anode needs replacing,"Excellent, Fair",Good,No,Sound,,1140,1238,,38
04,,,,Good,,55,,,"Recommend raising waterline about 3-4” on next haul out ",Fair,"Good, Polished",No,Sound,,1328,1423,,35
03,,,,"Good, Replaced",,20,,,Replaced FX Flexofold Propeller Zinc Anode,"Excellent, Fair",Good,Yes,,,1510,1530,$40.00,20
06,,,,Fair,,72,,,"Widespread embedded algae and increasing labor time indicates it’s getting time to repaint! ","Fair, Poor",Good,No,Sound,,1040,1152,,52
05,,,,Good,,59,,,Same recommendation for raising waterline,Fair,Good,No,Sound,,1005,1104,,39
07,,,,Fair,,61,,,Time to repaint and raise the waterline!,Poor,Good,No,Sound,,1446,1547,,41
08,,,,,,28,,,,,,No,,,1322,1350,,8
09,,,,,,17,,,,,,No,,,1516,1533,,0
10,,,,,,20,,,,,,No,,,1207,1227,,0
11,,,,,"November 8, 2024",22,,,,,,No,,,1417,1439,,2
12,,,,,,19,,,,,,No,,,1510,1529,,0
13,,,,,"May 14, 2025",26,,,,,,No,,,1411,1437,,6
15,,,,,"July 8, 2025",25,,,,,,No,,,1237,1302,,5
