#,# Installed,$ Time,Adjustments,Anode,Anodes,Date,Duration,Growth,Interval,Materials,Monthly,Notes,Paint,Prop,Secondary Visit,Thru-hulls,Time Base Fee,Time In,Time Out,Total,Xtra Minutes
01,,$82.00,,,Good,,61,,2,,$90.00,,Excellent,Good,No,Sound,$99.00,0,101,$181.00,41
02,,$42.00,,,Good,,41,,2,,$70.00,"The keel appears to sit in the mud by about 8”.
Barnacles were widespread on the keel.",Excellent,Good,No,Sound,$99.00,1353,1434,$141.00,21
03,,$46.00,,,Fair,,43,,2,,$72.00,Widespread small barnacles on lower keel and rudder.,Good,Good,No,Sound,$99.00,1510,1553,$145.00,23
04,,$88.00,,,Fair,,64,,2,,$93.00,,Good,Good,No,Sound,$99.00,1343,1447,$187.00,44
05,,$154.00,,,"Good, Replaced",,97,,2,,$126.00,"Heavy calcium and barnacle buildup on lower keel and rudder from sitting in the mud. Replaced strut anode and 1 prop shaft anode. ","Fair, Good",Good,No,Sound,$99.00,1145,1322,$253.00,77
07,,$68.00,,,"Excellent, Good",,54,,2,,$83.00,,"Fair, Good",Good,No,Sound,$99.00,1430,1524,$167.00,34
08,,$40.00,,,"Fair, Good",,40,,2,,$69.00,Visibility near zero so after video is not very useful. Like diving in mud!,"Fair, Good",Good,No,Sound,$99.00,1250,1330,$139.00,20
06,,$90.00,,,"Excellent, Good",,65,,2,,$94.00,,"Fair, Good",Good,No,Sound,$99.00,1510,1615,$189.00,45
09,,$54.00,,,"Fair, Good",,47,,2,,$76.00,,Fair,Good,No,Sound,$99.00,1255,1342,$153.00,27
10,,$38.00,,,,,39,,2,,$68.00,,,,No,,$99.00,1327,1406,$137.00,19
11,,$22.00,,,,,31,,2,,$60.00,,,,No,,$99.00,1508,1539,$121.00,11
12,,$2.00,,,,,21,,2,,$50.00,,,,No,,$99.00,1329,1350,$101.00,1
13,,$0.00,,,,,12,,,,$0.00,,,,No,,$99.00,1404,1416,$99.00,0
14,,$0.00,,,,,0,,,,$0.00,,,,No,,$99.00,,,$99.00,0
15,,$4.00,,,,,22,,,,$0.00,,,,No,,$99.00,1229,1251,$103.00,2
16,,$14.00,,,,,27,,,,$0.00,,,,No,,$99.00,1358,1425,$113.00,7
17,,$20.00,,,,,30,,,,$0.00,,,,No,,$99.00,1620,1650,$119.00,10
