#,# Installed,$ Time,Adjustments,Anode,Anodes,Date,Duration,Growth,Interval,Materials,Monthly,Notes,Paint,Prop,Secondary Visit,Thru-hulls,Time Base Fee,Time In,Time Out,Total,Xtra Minutes
01,,$0.00,,,Good,05/11/2023,0,,2,,$49.00,"From the diver: The paint was in fair to poor condition. There were areas of thinning paint on the keel, waterline and rudder. The keel is resting in the mud during low tide, causing increased wear in this area and an accumulation of shelled growth. Neither the Max prop nor the plate zincs needed to be changed. Heavy fouling was cleared from the transducer. I'd recommend a cleaning every 2 months.","Fair, Poor",Good,No,Sound,$99.00,,,$99.00,0
03,,$70.00,,,"Fair, Good",09/10/2023,55,,2,,$84.00,"Max prop anode to be replaced on next service ",Good,Good,No,Sound,$99.00,952,1047,$169.00,35
02,,$86.00,,,Good,07/05/2023,63,,2,,$92.00,,Good,Good,No,Sound,$99.00,1459,1602,$185.00,43
05,,$70.00,,,"Fair, Good, Replaced",01/04/2024,55,,2,,$84.00,"Possible electrolysis issue with thru-hulls. Recommend haulout in near future for proper inspection. ",Fair,Good,No,Possible Issue,$99.00,1235,1330,$169.00,35
04,,$72.00,,,"Fair, Good, Replaced",11/08/2023,56,,2,,$85.00,"Replaced maxprop anode. Port hull anode to be replaced on next service. ",Good,Good,No,Sound,$99.00,1410,1506,$171.00,36
06,,$46.00,$0.00,,Good,03/08/2024,43,,2,,$72.00,,Fair,Good,No,Possible Issue,$99.00,1210,1253,$145.00,23
07,,$24.00,,,Fair,05/10/2024,32,,2,,$61.00,"All thru hulls appeared to be closed  ",Fair,Good,No,Possible Issue,$99.00,1357,1429,$123.00,12
08,,$50.00,,,,07/10/2024,45,,2,,$74.00,,,,No,,$99.00,1407,1452,$149.00,25
09,,$20.00,,,,07/11/2024,10,,2,,$10.00,,,,Yes,,$99.00,1200,1210,$20.00,10
10,,$32.00,,,,09/20/2024,36,,2,,$65.00,,,,No,,$99.00,1542,1618,$131.00,16
11,,$0.00,,,,,8,,,,$0.00,,,,No,,$99.00,1423,1431,$99.00,0
13,,$0.00,,,,,20,,,,$0.00,,,,No,,$99.00,1252,1312,$99.00,0
14,,$0.00,,,,,16,,,,$0.00,,,,No,,$99.00,1430,1446,$99.00,0
