#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,01/03/2023,"Fair, Good",Moderate,"Fair, Good",Sound,Good,"It appears Two Truths has several small blisters on the keel, starboard side. The paint is worn through in some areas around the prop aperture and leading edge of the keel. Prop anode to be replaced on next visit.",
02,03/02/2023,"Fair, Good",Minimal,"Fair, Good",Sound,Good,I replaced the MaxProp anode and the prop shaft anode.,
03,05/02/2023,"Fair, Good",Minimal,Excellent,Sound,Good,,
04,07/01/2023,"Fair, Good",Minimal,Excellent,Sound,Good,,
05,01/10/2024,Fair,"Heavy, Moderate","Good, Replaced","Possible Issue, Sound",Good,"Replaced MaxProp anode. Possible issue around grounding plate forward starboard side. ",
06,04/02/2024,Excellent,Minimal,Excellent,Sound,Polished,,
07,06/13/2024,Excellent,Minimal,"Good, Missing",Sound,Polished,"MaxProp anode missing. I will return with the necessary fasteners and anode. 
",
08,08/14/2024,Excellent,Minimal,Good,Sound,Good,,
09,10/09/2024,Excellent,"Minimal, Moderate",Good,Sound,Good,,
10,12/12/2024,Excellent,Minimal,"Fair, Good",Sound,Polished,,
11,02/20/2025,Excellent,Minimal,"Fair, Good",Sound,Polished,,
12,06/23/2025,Excellent,Minimal,"Fair, Good",Sound,Good,,
13,08/13/2025,Excellent,Minimal,"Fair, Good",Sound,Good,,
14,10/23/2025,Good,"Minimal, Moderate","Fair, Needs Replacement",Sound,Good,"63MM Maxprop anode to be replaced ",
