#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,03/03/2023,"Excellent, Poor",,Fair,Sound,Polished,"Removed wrapped line. No cutlass play. Paint failing near waterline. Light horizontal crack along port keel joint. Some gouging into gelcoat around cutlass. Installed a one-inch streamlined shaft anode (MTY-CMX01, $12)",1
02,06/06/2023,"Good, Poor","Heavy, Minimal",Replaced,Sound,Good,"Heavy barnacle gowth around waterline, esp port quarter. Heavy slime above waterline in same area. Installed a one-inch streamlined shaft anode (MTY-CMX01, $12)",1
03,09/11/2023,"Good, Poor","Heavy, Minimal","Fair, Replaced",Sound,Good,"Heavy slime above bottom paint waterline on port aft quarter. Installed a one-inch streamlined shaft anode (MTY-CMX01, $12)",1
04,12/06/2023,"Good, Poor",Moderate,"Fair, Replaced",Sound,Good,"Replaced shaft anode. ",1
05,03/04/2024,"Fair, Poor",Moderate,Replaced,Sound,Good,"Replaced shaft anode. ",1
06,06/06/2024,Poor,"Heavy, Moderate",Replaced,Sound,Good,Paint has failed. Time for haulout! Replaced shaft anode.,1
07,09/21/2024,Poor,"Heavy, Moderate",Good,Sound,Good,,
08,12/08/2024,Poor,"Heavy, Moderate",Replaced,Sound,Good,,
09,03/13/2025,Poor,"Heavy, Moderate",Good,Sound,Good,,
10,06/02/2025,"Missing, Poor",Moderate,Good,Sound,Good,"Shaft anode was loose, re-tightened. ",
11,09/25/2025,"Missing, Poor","Heavy, Moderate",Replaced,Sound,Good,,
,,,,,,,,
