#,Interval,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes
01,2,04/13/2023,Excellent,Minimal,Fair,Sound,Good,
02,2,06/06/2023,Excellent,Minimal,"Fair, Replaced",Sound,Good,Replaced prop shaft anode MTY-CMC04 1 1/8”. Growth was excellently minimal. Keep sailing this boat!
03,2,08/03/2023,Excellent,Minimal,Good,Sound,Good,
04,2,10/03/2023,Excellent,Minimal,Good,Sound,Good,
05,2,12/04/2023,Excellent,"Minimal, Moderate",Good,Sound,Good,
06,2,02/01/2024,Excellent,Minimal,"Fair, Good",Sound,Good,
07,2,04/03/2024,Excellent,Minimal,"Fair, Good",Sound,Good,
08,2,06/04/2024,Excellent,"Minimal, Moderate","Fair, Good",Sound,Good,
09,2,08/02/2024,Good,"Minimal, Moderate","Fair, Good",Sound,Good,
10,2,10/18/2024,Good,Minimal,Replaced,Sound,Good,Installed 2x shaft anodes
11,,12/09/2024,"Fair, Good",Minimal,Good,Sound,Good,
12,,02/10/2025,"Fair, Good",Minimal,Good,Sound,Good,
13,,04/08/2025,"Fair, Good",Moderate,Good,Sound,Good,
14,,06/19/2025,"Fair, Good",Moderate,Good,Sound,Good,
15,,08/07/2025,"Fair, Good",Moderate,Fair,Sound,Good,
