#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,03/06/2023,Fair,Moderate,"Fair, Good",Sound,Good,Widespread small barnacles,
02,06/05/2023,Fair,Moderate,Good,Sound,Good,"Widespread embedded black algae, indicative of failing anti-fouling properties",
03,09/07/2023,"Fair, Poor",Moderate,"Fair, Good",Sound,Good,"May need new prop anode on next service. Removed wrapped line or kelp wrapped around prop, see video. Paint required extra scrubbing to remove growth. ",
04,12/06/2023,"Fair, Poor",Moderate,"Good, Replaced",Sound,Good,"Replaced Autostream prop anode.  I’m ordering a second for your spares inventory, this will be added to this month’s bill. ",
05,03/06/2024,"Fair, Poor","Heavy, Moderate",Good,Sound,Good,"Widespread embedded algae. Propspeed mostly worn away. A haulout is recommended. ",
06,06/03/2024,"Fair, Missing","Heavy, Moderate",Good,Sound,Good,"Paint has become ineffective. Haul out recommended asap. ",
07,10/14/2024,Excellent,Minimal,"Fair, Good",Sound,Good,,
08,01/10/2025,Excellent,Minimal,"Fair, Good",Sound,Good,"Will probably need prop anode on next service ",
09,04/03/2025,Excellent,Minimal,"Fair, Good",Sound,Good,,
10,07/15/2025,Good,"Minimal, Moderate",Fair,Sound,Good,,
11,10/22/2025,Good,Moderate,Needs Replacement,Sound,Good,"Prospered is gone. Will return with anodes (2) shaft, R2, Autostream",
