#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,# Installed
01,03/05/2023,"Fair, Good","Heavy, Moderate",Good,"Possible Issue, Sound",Good,"Some oxidations showing up around the depth sounder transducer. ",0
02,09/09/2023,Excellent,Minimal,Good,Sound,Good,"Scoured the depth transducer. ",0
03,04/08/2024,Good,Minimal,Good,Sound,Good,Possible prop anode missing,0
04,05/10/2024,Good,"Minimal, Moderate",Good,Sound,Good,,
05,06/14/2024,Good,"Minimal, Moderate",Good,Sound,Good,,
06,07/11/2024,Good,"Minimal, Moderate",Good,Sound,Good,,
07,08/05/2024,Good,"Minimal, Moderate",Good,Sound,Good,"Port quarter waterline is below the surface of the water. ",
08,09/14/2024,Good,"Minimal, Moderate",Good,Sound,Good,,
09,10/14/2024,Good,Minimal,Good,Sound,Good,"Port quarter waterline is below the surface of the water; growth occurring on hull above waterline  ",
10,11/12/2024,Good,"Minimal, Moderate",Good,Sound,Good,,
11,12/10/2024,Good,"Minimal, Moderate",Good,Sound,Good,,
12,01/08/2025,Good,"Minimal, Moderate",Good,Sound,Good,,
13,02/10/2025,Good,"Minimal, Moderate",Good,Sound,Good,,
,,,,,,,,
