#,# Installed,Anodes,Date,Growth,Notes,Paint,Prop,Thru-hulls
02,0,Good,09/09/2023,Minimal,"Scoured the depth transducer. ",Excellent,Good,Sound
01,0,Good,03/05/2023,"Heavy, Moderate","Some oxidations showing up around the depth sounder transducer. ","Fair, Good",Good,"Possible Issue, Sound"
03,0,Good,04/08/2024,Minimal,Possible prop anode missing,Good,Good,Sound
04,,Good,05/10/2024,"Minimal, Moderate",,Good,Good,Sound
05,,Good,06/14/2024,"Minimal, Moderate",,Good,Good,Sound
06,,Good,07/11/2024,"Minimal, Moderate",,Good,Good,Sound
07,,Good,08/05/2024,"Minimal, Moderate","Port quarter waterline is below the surface of the water. ",Good,Good,Sound
08,,Good,09/14/2024,"Minimal, Moderate",,Good,Good,Sound
09,,Good,10/14/2024,Minimal,"Port quarter waterline is below the surface of the water; growth occurring on hull above waterline  ",Good,Good,Sound
10,,Good,11/12/2024,"Minimal, Moderate",,Good,Good,Sound
11,,Good,12/10/2024,"Minimal, Moderate",,Good,Good,Sound
12,,Good,01/08/2025,"Minimal, Moderate",,Good,Good,Sound
13,,Good,02/10/2025,"Minimal, Moderate",,Good,Good,Sound
,,,,,,,,
