#,# Installed,$ Time,Adjustments,Anodes,Date,Duration,Interval,Materials,Monthly,Notes,Paint,Prop,Secondary Visit,Thru-hulls,Time Base Fee,Time In,Time Out,Total,Xtra Minutes
01,,$0.00,,Excellent,,20,1,,$99.00,"A plastic bag was found entangled with the propeller and removed. A light slime was found covering all wetted-surface areas; I removed 75% of it, including the waterline, leading edge of keel, and entire propeller and rudder areas. A complete cleaning will be performed next month. Many small barnacles were observed on the propeller. It was not apparent how much Propspeed or similar protective coating remains on the propeller surface. ","Excellent, Good",Good,No,Sound,$99.00,1201,1221,$99.00,0
03,,$18.00,,Good,,29,1,,$117.00,,Excellent,Good,No,Sound,$99.00,1655,1724,$117.00,9
02,,$6.00,,Excellent,,23,1,,$105.00,Some tiny barnacles had started on the prop and were removed.,"Excellent, Good",Good,No,Sound,$99.00,1543,1606,$105.00,3
04,,$16.00,,Good,,28,1,,$115.00,"Three areas of paint adherence issue, port side. See video ","Excellent, Poor",Good,No,Sound,$99.00,1404,1432,$115.00,8
06,,$14.00,,Good,,27,2,,$56.00,,Good,Good,No,Sound,$99.00,1516,1543,$113.00,7
05,,$0.00,$0.00,Fair,,20,1,,$99.00,"Shaft collar up for replacement next service ",Excellent,Good,No,Sound,$99.00,1537,1557,$99.00,0
05,,$14.00,$0.00,Replaced,,27,1,,$113.00,,Excellent,Good,No,Sound,$99.00,1453,1520,$113.00,7
07,,$2.00,,Good,,21,2,,$50.00,,Good,Good,No,Sound,$99.00,1354,1415,$101.00,1
08,,$16.00,,,"September 23, 2024",28,2,,$57.00,,,,No,,$99.00,1212,1240,$115.00,8
08,,$0.00,,,"November 15, 2024",16,,,$0.00,,,,No,,$99.00,1221,1237,$99.00,0
09,,$0.00,,,,18,,,$0.00,,,,No,,$99.00,1308,1326,$99.00,0
13,,$0.00,,,,20,,,$0.00,,,,No,,$99.00,1335,1355,$99.00,0
