#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,02/16/2023,"Excellent, Good",Minimal,Excellent,Sound,Good,"A plastic bag was found entangled with the propeller and removed. A light slime was found covering all wetted-surface areas; I removed 75% of it, including the waterline, leading edge of keel, and entire propeller and rudder areas. A complete cleaning will be performed next month. Many small barnacles were observed on the propeller. It was not apparent how much Propspeed or similar protective coating remains on the propeller surface. ",
02,03/05/2023,"Excellent, Good",Minimal,Excellent,Sound,Good,Some tiny barnacles had started on the prop and were removed.,
03,05/02/2023,Excellent,Minimal,Good,Sound,Good,,
04,07/02/2023,"Excellent, Poor",Minimal,Good,Sound,Good,"Three areas of paint adherence issue, port side. See video ",
05,01/05/2024,Excellent,Minimal,Fair,Sound,Good,"Shaft collar up for replacement next service ",
05,03/06/2024,Excellent,Minimal,Replaced,Sound,Good,,
06,05/13/2024,Good,"Minimal, Moderate",Good,Sound,Good,,
07,07/08/2024,Good,"Minimal, Moderate",Good,Sound,Good,,
08,09/23/2024,Good,"Minimal, Moderate",Replaced,Sound,Good,,
09,11/15/2024,Good,"Minimal, Moderate",Excellent,Sound,Good,,
10,01/13/2025,Good,Minimal,"Fair, Good",Sound,Good,,
11,03/18/2025,Good,Moderate,Fair,Sound,Good,"Shaft anode to be replaced on next service. Waterline paint has failed. ",
12,05/09/2025,Fair,Moderate,Fair,Sound,Good,,
13,07/08/2025,Fair,Moderate,Fair,Sound,Good,,
14,09/04/2025,"Fair, Missing",Moderate,"Missing, Replaced",Sound,Polished,Some paint on the leading edge of keel has been scraped through. No significant damage to gel coat or fiberglass.,1
