#,Time In,Time Out,Duration
28,1455,1513,18
27,1256,1314,18
26,1234,1246,12
25,1443,1457,14
24,1305,1320,15
23,1200,1227,27
22,1130,1157,27
21,1352,1422,30
20,1506,1533,27
19,1134,1156,22
17,1520,1542,22
16,1243,1259,16
18,1410,1436,26
14,1400,1433,33
13,1505,1532,27
15,1355,1416,21
12,1433,1527,54
10,1105,1203,58
11,1420,1506,46
09,1030,1102,32
08,1324,1422,58
06,945,1046,61
07,1653,1736,43
05,1130,1205,35
03,1416,1439,23
04,1105,1143,38
02,1122,1135,13
01,1116,1133,17
