#,Anodes,Duration,Notes,Paint,Prop,Thru-hulls,Time In,Time Out
01,Good,17,,Fair,Good,Sound,1116,1133
02,Good,13,,Fair,Good,Sound,1122,1135
03,Good,23,"Widespread embedded black algae, indicative of failed anti-fouling properties of the paint","Fair, Poor",Good,Sound,1416,1439
04,Good,38,"Many areas missing paint in normal areas at the waterline, edges of keel, and rudder","Fair, Poor",Good,Sound,1105,1143
05,Good,35,,"Fair, Poor",Good,Sound,1130,1205
06,Good,61,Large patches of missing paint,Poor,Good,Sound,945,1046
07,Good,43,,Poor,Good,Sound,1653,1736
08,"Fair, Good",58,,Poor,Good,Sound,1324,1422
09,"Fair, Good",32,Widespread embedded algae. Gel coat exposed in several areas. Shaft anode to be replaced on next service,Poor,Good,Sound,1030,1102
12,"Good, Replaced",54,"Replaced both shaft anodes. Paint missing in large areas along waterline and many places on hull. Repainting advised asap. ","Missing, Poor",Good,Sound,1433,1527
10,"Good, Replaced",58,"Widespread embedded algae. Gel coat exposed in several areas. Bottom in urgent need of painting. Shaft donut anode temporarily installed, streamlined   to be installed on next service. ",Poor,Good,Sound,1105,1203
11,"Excellent, Good",46,"Widespread blisters noted ","Missing, Poor",Good,Sound,1420,1506
14,Good,33,,"Missing, Poor",Good,Sound,1400,1433
13,"Excellent, Good",27,Repainting advised asap.,"Missing, Poor",Good,Sound,1505,1532
15,"Excellent, Good",21,,"Missing, Poor",Good,Sound,1355,1416
17,Good,22,"No obstruction found in galley drain. ","Missing, Poor",Good,Sound,1520,1542
16,Good,16,,"Missing, Poor",Good,Sound,1243,1259
18,Good,26,,"Missing, Poor",Good,Sound,1410,1436
19,Good,22,,"Missing, Poor",Good,Sound,1134,1156
20,,27,,,,,1506,1533
21,Good,30,,"Missing, Poor",Good,Sound,1352,1422
22,,27,,,,,1130,1157
23,,27,,,,,1200,1227
24,,15,,,,,1305,1320
25,,14,,,,,1443,1457
26,,12,,,,,1234,1246
27,,18,,,,,1256,1314
28,,18,,,,,1455,1513
