#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,01/06/2023,Fair,"Heavy, Moderate",Good,Sound,Good,,
02,02/03/2023,Fair,Minimal,Good,Sound,Good,,
03,03/03/2023,"Fair, Poor",Minimal,Good,Sound,Good,"Widespread embedded black algae, indicative of failed anti-fouling properties of the paint.",
04,04/06/2023,"Fair, Poor",Minimal,Good,Sound,Good,"Many areas missing paint in normal areas at the waterline, edges of keel, and rudder",
05,05/04/2023,"Fair, Poor","Minimal, Moderate",Good,Sound,Good,,
06,06/01/2023,Poor,"Minimal, Moderate",Good,Sound,Good,Large patches of missing paint.,
07,07/02/2023,Poor,"Minimal, Moderate",Good,Sound,Good,,
08,08/01/2023,Poor,Moderate,"Fair, Good",Sound,Good,,
09,09/08/2023,Poor,"Heavy, Moderate","Fair, Good",Sound,Good,Widespread embedded algae. Gel coat exposed in several areas. Shaft anode to be replaced on next service,
10,10/04/2023,Poor,"Heavy, Moderate","Good, Replaced",Sound,Good,"Widespread embedded algae. Gel coat exposed in several areas. Bottom in urgent need of painting. Shaft donut anode temporarily installed, streamlined   to be installed on next service. ",
11,11/03/2023,"Missing, Poor","Heavy, Moderate","Excellent, Good",Sound,Good,"Widespread blisters noted ",
12,12/01/2023,"Missing, Poor","Heavy, Moderate","Good, Replaced",Sound,Good,"Replaced both shaft anodes. Paint missing in large areas along waterline and many places on hull. Repainting advised asap. ",
13,01/04/2024,"Missing, Poor",Moderate,"Excellent, Good",Sound,Good,Repainting advised asap.,
14,02/07/2024,"Missing, Poor","Minimal, Moderate",Good,Sound,Good,,
15,03/08/2024,"Missing, Poor","Minimal, Moderate","Excellent, Good",Sound,Good,,
16,04/02/2024,"Missing, Poor","Minimal, Moderate",Good,Sound,Good,,
17,05/06/2024,"Missing, Poor","Minimal, Moderate",Good,Sound,Good,"No obstruction found in galley drain. ",
18,06/13/2024,"Missing, Poor","Heavy, Moderate",Good,Sound,Good,,
19,07/12/2024,"Missing, Poor","Heavy, Moderate",Good,Sound,Good,,
20,08/12/2024,"Missing, Poor",Moderate,Good,Sound,Good,,
21,09/10/2024,"Missing, Poor","Heavy, Moderate",Good,Sound,Good,,
22,10/01/2024,"Missing, Poor",Moderate,Good,Sound,Good,,
23,11/13/2024,"Missing, Poor",Moderate,Good,Sound,Good,,
24,12/11/2024,"Missing, Poor",Moderate,Good,Sound,Good,,
25,01/16/2025,"Missing, Poor",Moderate,Good,Sound,Good,,
26,02/20/2025,"Missing, Poor",Moderate,Good,Sound,Good,,
27,04/04/2025,"Missing, Poor","Heavy, Moderate",Good,Sound,Good,,
28,08/13/2025,Excellent,Moderate,Good,Sound,Good,,
29,10/15/2025,Excellent,Minimal,"Fair, Good",Sound,Good,,
