#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
01,Good,01/06/2023,"Heavy, Moderate",,,Fair,Good,Sound
02,Good,02/03/2023,Minimal,,,Fair,Good,Sound
03,Good,03/03/2023,Minimal,,"Widespread embedded black algae, indicative of failed anti-fouling properties of the paint.","Fair, Poor",Good,Sound
04,Good,04/06/2023,Minimal,,"Many areas missing paint in normal areas at the waterline, edges of keel, and rudder","Fair, Poor",Good,Sound
07,Good,07/02/2023,"Minimal, Moderate",,,Poor,Good,Sound
06,Good,06/01/2023,"Minimal, Moderate",,Large patches of missing paint.,Poor,Good,Sound
05,Good,05/04/2023,"Minimal, Moderate",,,"Fair, Poor",Good,Sound
09,"Fair, Good",09/08/2023,"Heavy, Moderate",,Widespread embedded algae. Gel coat exposed in several areas. Shaft anode to be replaced on next service,Poor,Good,Sound
10,"Good, Replaced",10/04/2023,"Heavy, Moderate",,"Widespread embedded algae. Gel coat exposed in several areas. Bottom in urgent need of painting. Shaft donut anode temporarily installed, streamlined   to be installed on next service. ",Poor,Good,Sound
08,"Fair, Good",08/01/2023,Moderate,,,Poor,Good,Sound
13,"Excellent, Good",01/04/2024,Moderate,,Repainting advised asap.,"Missing, Poor",Good,Sound
14,Good,02/07/2024,"Minimal, Moderate",,,"Missing, Poor",Good,Sound
12,"Good, Replaced",12/01/2023,"Heavy, Moderate",,"Replaced both shaft anodes. Paint missing in large areas along waterline and many places on hull. Repainting advised asap. ","Missing, Poor",Good,Sound
11,"Excellent, Good",11/03/2023,"Heavy, Moderate",,"Widespread blisters noted ","Missing, Poor",Good,Sound
15,"Excellent, Good",03/08/2024,"Minimal, Moderate",,,"Missing, Poor",Good,Sound
16,Good,04/02/2024,"Minimal, Moderate",,,"Missing, Poor",Good,Sound
17,Good,05/06/2024,"Minimal, Moderate",,"No obstruction found in galley drain. ","Missing, Poor",Good,Sound
18,Good,06/13/2024,"Heavy, Moderate",,,"Missing, Poor",Good,Sound
19,Good,07/12/2024,"Heavy, Moderate",,,"Missing, Poor",Good,Sound
20,Good,08/12/2024,Moderate,,,"Missing, Poor",Good,Sound
21,Good,09/10/2024,"Heavy, Moderate",,,"Missing, Poor",Good,Sound
22,Good,10/01/2024,Moderate,,,"Missing, Poor",Good,Sound
23,Good,11/13/2024,Moderate,,,"Missing, Poor",Good,Sound
24,Good,12/11/2024,Moderate,,,"Missing, Poor",Good,Sound
25,Good,01/16/2025,Moderate,,,"Missing, Poor",Good,Sound
26,Good,02/20/2025,Moderate,,,"Missing, Poor",Good,Sound
27,Good,04/04/2025,"Heavy, Moderate",,,"Missing, Poor",Good,Sound
28,Good,08/13/2025,Moderate,,,Excellent,Good,Sound
29,"Fair, Good",10/15/2025,Minimal,,,Excellent,Good,Sound
