#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,01/07/2023,Excellent,Minimal,Excellent,Sound,Good,Observed a 1-inch long rust-colored patch at keel- to hull juncture. I believe it was on the port side. Prop anode to be replaced on next service,
02,02/04/2023,Excellent,Minimal,"Good, Replaced",Sound,Good,Replaced prop anode,
03,04/11/2023,Excellent,Minimal,"Good, Replaced",Sound,Good,Shaft anode: good. Replaced prop anode,
04,07/06/2023,Excellent,Minimal,"Good, Replaced",Sound,Good,Replaced prop anode,
05,10/05/2023,Excellent,Minimal,"Good, Replaced",Sound,Good,Replaced prop anode,
06,01/08/2024,Excellent,"Minimal, Moderate","Good, Replaced",Sound,Good,"Iron oxide appearing in various small spots on keel. Sporadic embedded black algae. Replaced prop anode. ",
09,03/31/2024,Excellent,"Minimal, Moderate","Good, Replaced",Sound,Good,Replaced prop anode,
10,07/15/2024,Fair,Moderate,"Good, Replaced",Sound,Good,Replaced prop anode,
11,10/05/2024,Fair,Moderate,"Good, Missing, Replaced",Sound,Good,Replaced prop anode,
12,01/14/2025,Fair,Moderate,"Good, Missing, Replaced",Sound,Good,Will return to replace prop anode,
13,04/17/2025,Fair,Moderate,"Good, Missing, Replaced",Sound,Good,,
14,06/10/2025,"Fair, Poor",Moderate,"Fair, Good",Sound,Good,,
