#,Anodes,Duration,Notes,Paint,Prop,Thru-hulls,Time In,Time Out
01,Excellent,40,Observed a 1-inch long rust-colored patch at keel- to hull juncture. I believe it was on the port side. Prop anode to be replaced on next service,Excellent,Good,Sound,1200,1240
04,"Good, Replaced",45,Replaced prop anode,Excellent,Good,Sound,1509,1554
03,"Good, Replaced",33,Shaft anode: good. Replaced prop anode,Excellent,Good,Sound,1656,1729
02,"Good, Replaced",13,Replaced prop anode,Excellent,Good,Sound,1437,1450
10,"Good, Replaced",32,Replaced prop anode,Fair,Good,Sound,1443,1515
05,"Good, Replaced",48,Replaced prop anode,Excellent,Good,Sound,1120,1208
09,"Good, Replaced",35,Replaced prop anode,Excellent,Good,Sound,1425,1500
06,"Good, Replaced",36,"Iron oxide appearing in various small spots on keel. Sporadic embedded black algae. Replaced prop anode. ",Excellent,Good,Sound,1449,1525
11,"Good, Missing",29,Replaced prop anode,Fair,Good,Sound,1436,1505
12,"Good, Missing",26,Will return to replace prop anode,Fair,Good,Sound,1407,1433
13,,36,,,,,1312,1348
14,,25,,,,,1345,1410
