#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,03/01/2023,Poor,Heavy,None,Sound,None,45,
02,05/01/2023,Poor,Moderate,None,Sound,None,36,
03,07/01/2023,Poor,Heavy,None,Sound,None,"Many small blisters. Time to haul out and paint. ",
04,09/06/2023,Poor,"Heavy, Moderate",None,Sound,None,,
05,11/02/2023,Poor,"Heavy, Moderate",None,Sound,None,,
06,01/09/2024,Poor,Moderate,None,Sound,None,,
07,03/11/2024,"Missing, Poor",Moderate,None,Sound,None,,
08,05/01/2024,"Missing, Poor","Heavy, Moderate",None,Sound,None,,
09,07/16/2024,"Missing, Poor","Heavy, Moderate",None,Sound,None,,
10,09/13/2024,"Missing, Poor","Heavy, Moderate",None,Sound,None,,
11,11/25/2024,"Missing, Poor",Moderate,None,Sound,None,,
12,01/23/2025,"Missing, Poor",Moderate,None,Sound,None,,
13,03/25/2025,"Missing, Poor",Moderate,None,Sound,None,,
14,05/01/2025,"Missing, Poor",Moderate,None,Sound,None,,
15,07/01/2025,"Missing, Poor",Moderate,None,Sound,None,,
16,09/19/2025,"Missing, Poor",Moderate,None,Sound,None,,
