#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
01,Fair,01/09/2023,"Heavy, Moderate",,Heavy hard growth,"Fair, Poor",Good,Sound
02,Fair,04/13/2023,"Heavy, Moderate",,Heavy hard growth,"Missing, Poor",Good,Sound
03,Fair,07/04/2023,"Heavy, Moderate",,Heavy hard growth,Poor,Good,Sound
05,Good,07/03/2024,Minimal,,,Excellent,Polished,Sound
04,Good,03/30/2024,Minimal,,,Excellent,Polished,Sound
06,Good,10/05/2024,Minimal,,,Excellent,Polished,Sound
07,Fair,01/07/2025,Moderate,,"Paint beginning to fail  in specific areas, notable on rudder. ","Fair, Good",Good,Sound
08,"Fair, Good",04/09/2025,Moderate,,,Fair,Good,Sound
09,"Fair, Good",07/23/2025,Moderate,,"Patches of failing paint becoming more pronounced. ","Fair, Poor",Good,Sound
10,Replaced,10/13/2025,"Heavy, Moderate",1,Installed (1) 1” Shaft HD,"Fair, Poor",Polished,Sound
