#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,01/08/2023,"Excellent, Fair","Minimal, Moderate","Excellent, Good",Sound,,,
02,03/05/2023,"Excellent, Poor",Minimal,Good,Sound,Good,Paint is bubbling in several areas.,
03,06/04/2023,"Excellent, Poor","Heavy, Minimal",Fair,Possible Issue,Good,"Significant areas of bubbling under surface of the paint, including around some thru-hulls. Appears to be some kind of corrosive reaction, exact cause unknown. May be cause for concern.",
04,09/10/2023,"Excellent, Missing","Heavy, Minimal",Fair,Possible Issue,Good,"Paint blistering and separation continues to spread. May be caused by oxidation in the cement. ",
05,12/07/2023,"Excellent, Missing","Minimal, Moderate","Fair, Replaced",Possible Issue,Good,"Replaced:
Prop nut size D ($35)
Mini divers dream ($30)
1.25” shaft collar anode ($20)

I need to acquire a second DD mini, and three more prop nut size Ds for rudder, plus a bar-style about 5.25” long with single hole in center for starboard side. Will return to replace these when acquired. ",
07,01/04/2024,,Not Evaluated,Replaced,,Good,Installed 2 “E” prop nuts on rudder pintles.,
06,02/09/2024,,Not Evaluated,Replaced,,Good,"Rudder requires size E or F prop nut anodes
Starboard bar-style hull anode: stud spinning in hull, unable to remove nut, unable to replace anode.
Replaced starboard DD mini ($30)",
08,03/31/2024,"Good, Missing",Moderate,Good,Possible Issue,Good,,
09,07/11/2024,"Good, Missing",Moderate,"Fair, Good",Possible Issue,Good,,
10,10/11/2024,"Good, Missing","Heavy, Moderate","Fair, Replaced",Possible Issue,Good,Installed E prop nut on rudder pintle.,
11,01/08/2025,"Good, Missing",Moderate,"Fair, Good",Possible Issue,Good,,
12,04/14/2025,"Fair, Missing",Moderate,"Fair, Good",Possible Issue,Good,,
13,07/15/2025,"Missing, Poor","Heavy, Moderate",Good,Possible Issue,Good,,
14,10/16/2025,"Missing, Poor",Moderate,"Good, Missing",Possible Issue,Good,Will return to replace (2) prop nut E anodes,
