#,Date,Interval,Secondary Visit,Time In,Time Out,Duration,Time Base Fee,Xtra Minutes,$ Time,# Installed,Materials,Adjustments,Total,Monthly
10,"August 8, 2025",,No,1357,1413,16,$99.00,0,$0.00,,,,$99.00,$0.00
09,"April 4, 2025",,No,1215,1230,15,$99.00,0,$0.00,,,,$99.00,$0.00
08,"January 8, 2025",,No,1317,1331,14,$99.00,0,$0.00,,,,$99.00,$0.00
07,,3,No,1350,1409,19,$99.00,0,$0.00,,,,$99.00,$33.00
06,,3,No,1431,1450,19,$99.00,0,$0.00,,,,$99.00,$33.00
05,,3,No,1302,1323,21,$99.00,1,$2.00,,,,$101.00,$33.00
04,,3,No,1346,1414,28,$99.00,8,$16.00,,,,$115.00,$38.00
03,,3,No,1550,1620,30,$99.00,10,$20.00,,,,$119.00,$39.00
02,,3,No,1157,1226,29,$99.00,9,$18.00,,,,$117.00,$39.00
01,,3,No,1112,1143,31,$99.00,11,$22.00,,,,$121.00,$40.00
