#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
01,Good,01/06/2023,Heavy,,"Sheared down growth on this service, will conduct a fine cleaning on the next service","Fair, Poor",Good,Sound
03,Good,05/02/2023,Moderate,,"Tightened prop anode. ","Fair, Poor",Good,Sound
11,"Fair, Good",09/10/2024,Heavy,,,Poor,Good,Sound
04,Good,07/02/2023,"Heavy, Moderate",,,Poor,Good,Sound
06,"Fair, Good",11/03/2023,"Heavy, Moderate",,"waterline should be raised all around to prevent growth on topsides. CmpzC prop nut and 3” trim tab anode may need to be replaced on next service. ","Fair, Poor",Good,Sound
02,Good,03/03/2023,Moderate,,"Polished prop and anode-mating surfaces
Replaced both anodes.
01/06/2023
Time: (~60 minutes)
Paint in fair to poor condition overall, will know better on the next service
Heavy three-dimensional growth
The prop anode is in good condition, and will tighten on the next service
https://www.notion.so/24eb23ebf791460e987fa6f623b523f8?pvs=21","Fair, Poor",Good,Sound
07,"Fair, Good",01/09/2024,"Heavy, Moderate",,,"Fair, Poor",Good,Sound
10,,07/12/2024,"Heavy, Moderate",,,Poor,Good,Sound
09,"Fair, Good",05/14/2024,Heavy,,"Heavy barnacle growth
","Fair, Poor",Good,Sound
08,"Fair, Good",03/07/2024,"Heavy, Moderate",,,"Fair, Poor",Good,Sound
05,Good,09/06/2023,"Heavy, Moderate",,,"Fair, Poor",Good,Sound
12,Good,11/25/2024,Moderate,,,Poor,Good,Sound
13,Good,01/16/2025,Moderate,,,Poor,Good,Sound
14,Good,03/25/2025,Moderate,,,Poor,Good,Sound
15,Good,05/13/2025,Moderate,,,"Missing, Poor",Good,Sound
16,Good,07/18/2025,"Heavy, Moderate",,,"Missing, Poor",Good,Sound
17,Good,09/18/2025,"Heavy, Moderate",,,"Missing, Poor",Good,Sound
