#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
01,None,03/06/2023,Heavy,,,Good,None,Sound
02,None,05/03/2023,Moderate,,,Good,None,Sound
04,None,09/08/2023,Moderate,,,"Fair, Good",None,Sound
03,None,07/06/2023,Moderate,,,Good,None,Sound
07,None,03/01/2024,Moderate,,,Fair,None,Sound
05,None,11/04/2023,Moderate,,,"Fair, Good",None,Sound
06,None,01/08/2024,Moderate,,,Fair,None,Sound
08,None,05/16/2024,Moderate,,,Fair,None,Sound
09,None,07/15/2024,Moderate,,,Fair,None,Sound
10,None,09/09/2024,Moderate,,,"Fair, Poor",None,Sound
11,None,11/08/2024,Moderate,,,"Fair, Poor",None,Sound
12,None,02/17/2025,Moderate,,,"Fair, Poor",None,Sound
13,None,08/06/2025,Moderate,,,Poor,None,Sound
