#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,01/11/2023,Poor,Heavy,Fair,Sound,Good,"Attention: widespread osmotic blistering on rudder, keel and hull. All appear to be roughly dime-sized.",
02,03/03/2023,Poor,Moderate,Fair,Sound,Good,,
03,05/04/2023,Poor,"Heavy, Moderate",Fair,Sound,Good,,
04,07/02/2023,Poor,Heavy,Fair,Sound,Good," Barnacles may be penetrating the fiberglass ",
05,09/08/2023,Poor,"Heavy, Moderate","Fair, Good",Sound,Good,"Paint has failed. Widespread blistering and shelled animal growth ",
06,11/03/2023,Poor,"Heavy, Moderate","Fair, Good",Sound,Good,,
07,01/09/2024,Poor,"Heavy, Moderate","Fair, Good",Sound,Good,,
08,03/11/2024,"Missing, Poor",Moderate,"Fair, Good",Sound,Good,,
09,05/02/2024,"Missing, Poor","Heavy, Moderate",Fair,Sound,Good,,
10,07/12/2024,"Missing, Poor","Heavy, Moderate","Fair, Good",Sound,Good,,
11,09/23/2024,"Missing, Poor","Heavy, Moderate",Fair,Sound,Good,,
12,11/13/2024,"Missing, Poor","Heavy, Moderate",Fair,Sound,Good,,
13,01/16/2025,"Missing, Poor","Heavy, Moderate",Fair,Sound,Good,,
