#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes
01,02/05/2023,Excellent,"Minimal, Moderate",Good,Sound,Good,
02,04/14/2023,"Excellent, Fair",Minimal,Fair,Sound,Good,
03,06/03/2023,"Excellent, Fair",Minimal,"Fair, Replaced",Sound,Good,"Paint deterioration forward of rudder and shaft, starboard side. Replaced shaft collar anode. "
04,08/05/2023,Excellent,"Heavy, Minimal","Excellent, Fair",Sound,"Good, Polished","Will order and replace keel anodes "
05,10/05/2023,Excellent,"Heavy, Minimal","Good, Replaced",Sound,"Good, Polished","Replaced 2 Martyr ZHC-2 anodes. "
06,12/07/2023,Excellent,Minimal,"Excellent, Fair",Sound,Polished,"Shaft anode will be replaced on next service. "
06,02/09/2024,Excellent,Minimal,"Good, Missing",Sound,Polished,Will return with shaft collar anode
07,02/21/2024,Not Evaluated,Not Evaluated,"Good, Replaced",Not Evaluated,Good,"Installed 1 1/4” shaft collar anode
"
08,04/10/2024,Good,"Heavy, Minimal",Good,Sound,Good,
09,06/14/2024,"Fair, Good",Moderate,Good,Sound,Good,
10,08/05/2024,"Fair, Good",Moderate,Good,Sound,Good,
11,10/08/2024,Fair,"Heavy, Moderate",Good,Sound,Good,"Paint is nearing end of life. "
12,12/06/2024,Fair,Moderate,"Fair, Good",Sound,Good,
13,02/18/2025,"Fair, Poor",Moderate,"Fair, Good",Sound,Good,
14,04/17/2025,"Fair, Poor",Moderate,"Fair, Good",Sound,Good,
15,06/17/2025,"Fair, Poor","Heavy, Moderate","Fair, Good",Sound,Good,
16,08/07/2025,"Fair, Poor","Heavy, Moderate","Fair, Good",Sound,Good,
17,10/31/2025,"Fair, Poor","Heavy, Moderate","Good, Retrieving",Sound,Polished,
