#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
01,None,03/03/2023,"Minimal, Moderate",,"Rudder is starting to develop more tenacious growth, recommend pulling it up out of the water or painting it with anti-fouling paint.
Recommend adding a split-ring to the lower gudgeon pin.","Excellent, Poor",None,Sound
02,None,05/04/2023,"Heavy, Minimal",,Rudder is developing lots of barnacles. It is in urgent need of paint or removal from the water.,"Excellent, Poor",None,Sound
03,None,07/06/2023,"Minimal, Moderate",,,Excellent,None,Sound
05,None,11/03/2023,Minimal,,I was able to pull up the rudder!,Excellent,None,Sound
04,None,09/08/2023,"Heavy, Minimal",,"Rudder should be removed from water or painted ","Excellent, Poor",None,Sound
06,None,01/07/2024,"Minimal, Moderate",,,"Excellent, Fair",Good,Sound
07,None,03/08/2024,Moderate,,Paint missing in bow area,"Fair, Missing",None,Sound
08,None,05/02/2024,Moderate,,,"Fair, Missing",None,Sound
10,None,09/13/2024,"Heavy, Minimal",,1212,"Missing, Poor",None,Sound
09,None,07/12/2024,"Heavy, Minimal",,,"Fair, Missing, Poor",None,Sound
11,None,11/13/2024,"Heavy, Moderate",,,"Missing, Poor",None,Sound
12,None,01/16/2025,"Heavy, Moderate",,,"Missing, Poor",None,Sound
13,None,03/24/2025,"Heavy, Moderate",,,"Missing, Poor",None,Sound
14,None,05/02/2025,"Heavy, Moderate",,,"Missing, Poor",None,Sound
15,None,07/18/2025,"Heavy, Moderate",,,"Missing, Poor",None,Sound
16,None,09/18/2025,"Heavy, Severe",,,Missing,None,Sound
