#,Anodes,Duration,Notes,Paint,Prop,Thru-hulls,Time In,Time Out
01,Excellent,7,Observational visit. Moderate slime growth in many patches and on keel bulb. Hard-shelled animal growths on keel bulb were removed,Excellent,Good,Sound,1200,1207
03,Good,70,Prop needs new anode. Recommend running the bowthruster more often to reduce growth. All other aspects of running gear and hull look great.,Excellent,Good,Sound,1025,1135
02,Excellent,52,Propspeed excellent,"Excellent, Good",Good,Sound,1113,1205
05,Fair,83,"Gori triangle to be replaced in coming days. Gory ring in fair condition, I will have one ready to install in next service if necessary. No noticeable play in prop or cutlass bearing. Hard growth over keel bulb. Thruster looked good. Fridge anodes good. ",Excellent,Good,Sound,1013,1136
04,"Good, Replaced",18,Replaced Gori prop triangle anode,Excellent,Good,Sound,1708,1726
06,Replaced,10,"Intalled triangle zinc anode for Gori propeller ",Excellent,Good,Sound,1208,1218
07,Excellent,42,,Excellent,Good,Sound,1012,1054
08,Good,45,"Propspeed is failing. Scattered barnacles on prop and keel bulb. Camera malfuction resulted in no ‘before’ video. ",Good,Good,Sound,1330,1415
09,Good,37,,Good,Good,Sound,1425,1502
10,Good,45,,"Fair, Good",Good,Sound,1241,1326
11,,32,,,,,1402,1434
12,,31,,,,,1347,1418
14,,29,,,,,1444,1513
16,,49,,,,,1337,1426
18,,15,,,,,1500,1515
19,,35,,,,,1521,1556
