#,# Installed,$ Time,Adjustments,Anodes,Date,Duration,Interval,Materials,Monthly,Notes,Paint,Prop,Secondary Visit,Thru-hulls,Time Base Fee,Time In,Time Out,Total,Xtra Minutes
01,,$66.00,$0.00,Good,,53,3,,$55.00,"Streamlined shaft missing, will replace on next visit",Excellent,Good,No,Sound,$99.00,1200,1253,$165.00,33
02,,$68.00,$0.00,Replaced,,54,3,,$55.00,Installed 1” streamlined,"Excellent, Good",Good,No,Sound,$99.00,1231,1325,$167.00,34
03,,$80.00,$0.00,Replaced,,60,3,,$59.00,Installed 1” streamlined,"Excellent, Good",Good,No,Sound,$99.00,1312,1412,$179.00,40
05,,$30.00,$0.00,Replaced,,35,3,,$43.00,Installed heavy duty 1” streamlined,"Excellent, Good",Good,No,Sound,$99.00,1445,1520,$129.00,15
04,,$54.00,$0.00,Replaced,,47,3,,$51.00,"Installed 1” streamlined. Will try a heavy duty anode next time. ","Excellent, Good",Good,No,Sound,$99.00,935,1022,$153.00,27
06,,$4.00,,"Fair, Replaced",,22,3,,$34.00,"Installed additional shaft anode
","Excellent, Good",Good,No,Sound,$99.00,1612,1634,$103.00,2
07,,$18.00,,"Fair, Good",,29,3,,$39.00,,Good,Good,No,Sound,$99.00,1235,1304,$117.00,9
08,,$18.00,,,,29,3,,$39.00,,,,No,,$99.00,1228,1257,$117.00,9
09,,$14.00,,,,27,,,$0.00,,,,No,,$99.00,1305,1332,$113.00,7
10,,$12.00,,,,26,,,$0.00,,,,No,,$99.00,1327,1353,$111.00,6
11,,$34.00,,,,37,,,$0.00,,,,No,,$99.00,1412,1449,$133.00,17
12,,$36.00,,,"October 22, 2025",38,,,$0.00,,,,No,,$99.00,1227,1305,$135.00,18
