#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,01/12/2023,Excellent,Minimal,Good,Sound,Good,"Streamlined shaft missing, will replace on next visit",
02,04/03/2023,"Excellent, Good",Minimal,Replaced,Sound,Good,Installed 1” streamlined,
03,07/03/2023,"Excellent, Good",Minimal,Replaced,Sound,Good,Installed 1” streamlined,
04,10/04/2023,"Excellent, Good",Minimal,Replaced,Sound,Good,"Installed 1” streamlined. Will try a heavy duty anode next time. ",
05,01/05/2024,"Excellent, Good",Minimal,Replaced,Sound,Good,Installed heavy duty 1” streamlined,
06,03/31/2024,"Excellent, Good",Minimal,"Fair, Replaced",Sound,Good,"Installed additional shaft anode
",
07,07/08/2024,Good,Moderate,"Fair, Good",Sound,Good,,
08,10/03/2024,"Good, Missing",Moderate,Replaced,Sound,Good,Installed heavy duty 1” streamlined,
09,01/10/2025,"Good, Missing","Minimal, Moderate",Replaced,Sound,Good,Installed 2x heavy duty 1” streamlined,
10,04/03/2025,Fair,Moderate,Good,Sound,Good,,
11,07/15/2025,"Fair, Missing, Poor","Heavy, Moderate","Missing, Replaced",Sound,Good,,
12,10/22/2025,"Missing, Poor","Heavy, Moderate",Needs Replacing,Sound,Good,Will return with (2) 1” shaft anodes,0
