#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
01,Good,01/12/2023,Minimal,,"Streamlined shaft missing, will replace on next visit",Excellent,Good,Sound
03,Replaced,07/03/2023,Minimal,,Installed 1” streamlined,"Excellent, Good",Good,Sound
04,Replaced,10/04/2023,Minimal,,"Installed 1” streamlined. Will try a heavy duty anode next time. ","Excellent, Good",Good,Sound
02,Replaced,04/03/2023,Minimal,,Installed 1” streamlined,"Excellent, Good",Good,Sound
05,Replaced,01/05/2024,Minimal,,Installed heavy duty 1” streamlined,"Excellent, Good",Good,Sound
06,"Fair, Replaced",03/31/2024,Minimal,,"Installed additional shaft anode
","Excellent, Good",Good,Sound
07,"Fair, Good",07/08/2024,Moderate,,,Good,Good,Sound
08,Replaced,10/03/2024,Moderate,,Installed heavy duty 1” streamlined,"Good, Missing",Good,Sound
09,Replaced,01/10/2025,"Minimal, Moderate",,Installed 2x heavy duty 1” streamlined,"Good, Missing",Good,Sound
11,"Missing, Replaced",07/15/2025,"Heavy, Moderate",,,"Fair, Missing, Poor",Good,Sound
10,Good,04/03/2025,Moderate,,,Fair,Good,Sound
12,Needs Replacing,10/22/2025,"Heavy, Moderate",0,Will return with (2) 1” shaft anodes,"Missing, Poor",Good,Sound
