#,Anodes,Duration,Notes,Paint,Prop,Thru-hulls,Time In,Time Out
01,Excellent,32,,Excellent,Polished,Sound,1017,1049
02,Excellent,27,,Excellent,Polished,Sound,1615,1642
04,Good,26,,Excellent,Polished,Sound,1405,1431
03,Excellent,24,,Excellent,Polished,Sound,1304,1328
05,Good,27,,Excellent,Polished,Sound,1337,1404
06,Good,13,,Excellent,Polished,Sound,1248,1301
07,Good,30,,Good,Polished,,1429,1459
08,,20,,,,,1330,1350
09,,28,,,,,1252,1320
10,,35,,"Missing, Poor",Good,,1435,1510
11,,36,,,,,1152,1228
12,,28,,,,,1224,1252
13,,22,,,,,1243,1305
14,,13,,,,,1150,1203
16,,31,,,,,1339,1410
