#,Anodes,Date,Growth,Notes,Paint,Prop,Thru-hulls
02,None,02/03/2023,Minimal,,"Fair, Good",None,None
01,None,01/06/2023,"Heavy, Moderate",,"Fair, Good",None,None
03,None,04/06/2023,"Minimal, Moderate",,"Excellent, Fair, Good",None,None
05,None,08/04/2023,Moderate,,"Fair, Good",None,None
04,None,06/02/2023,Minimal,Above the waterline hull paint is chipping away. Look for red speckles just above boot stripe.,Good,None,None
06,None,10/06/2023,Moderate,,"Fair, Good",None,None
07,None,12/01/2023,Moderate,"Paint is nearing end of life. I recommend scheduling a haulout for repainting within the next 6 months. ",Fair,None,None
08,None,02/06/2024,Moderate,,"Fair, Poor",None,None
09,None,04/05/2024,Moderate,,"Fair, Poor",None,None
10,None,06/07/2024,Moderate,,Fair,None,None
11,None,08/09/2024,Moderate,,"Fair, Poor",None,None
12,None,12/12/2024,Moderate,,"Fair, Poor",None,None
13,None,02/20/2025,Moderate,,"Fair, Poor",None,None
14,None,06/19/2025,Moderate,,"Fair, Poor",None,None
15,None,08/13/2025,Moderate,,"Fair, Poor",None,None
16,None,10/15/2025,Moderate,,Poor,None,None
